topology,layout,permutation,input_port,output_port,route_status,failure_reason,physical_wiring_um,bend_count,crossing_count,physical_il_db,topology_il_db,il_delta_db,topology_wiring_um,wiring_delta_um,mrr_loss_db,sxr_db,n_logical,layer,perm_idx,seed
padded_benes_4x4,default,2-1-3-0,0,2,routed,,656.955743,14,8,3.335250,1.905339,1.429911,377.000000,279.955743,1.151339,11.271180,4,physical,0,42
padded_benes_4x4,default,2-1-3-0,1,1,routed,,915.247780,12,8,3.358787,1.574292,1.784496,453.000000,462.247780,0.668292,19.439827,4,physical,0,42
padded_benes_4x4,default,2-1-3-0,2,3,routed,,1064.225651,19,13,4.674790,1.977339,2.697451,413.000000,651.225651,1.151339,10.597570,4,physical,0,42
padded_benes_4x4,default,2-1-3-0,3,0,routed,,770.663706,16,7,3.955713,2.420385,1.535327,393.000000,377.663706,1.634385,7.561953,4,physical,0,42
padded_benes_4x4,default,3-2-0-1,0,3,routed,,770.663706,16,7,3.955713,2.420385,1.535327,393.000000,377.663706,1.634385,7.985623,4,physical,1,42
padded_benes_4x4,default,3-2-0-1,1,2,routed,,894.809725,15,7,4.199005,2.484385,1.714619,425.000000,469.809725,1.634385,7.921623,4,physical,1,42
padded_benes_4x4,default,3-2-0-1,2,0,routed,,583.539816,10,6,2.968418,1.905339,1.063080,377.000000,206.539816,1.151339,10.841876,4,physical,1,42
padded_benes_4x4,default,3-2-0-1,3,1,routed,,996.663706,16,6,3.824666,2.033339,1.791327,441.000000,555.663706,1.151339,10.713876,4,physical,1,42
waksman_4x4,default,2-1-3-0,0,2,routed,,613.393798,11,4,2.610362,1.622575,0.987788,347.000000,266.393798,0.928575,11.797311,4,physical,0,42
waksman_4x4,default,2-1-3-0,1,1,routed,,915.247780,12,4,2.958787,1.574292,1.384496,453.000000,462.247780,0.668292,19.495029,4,physical,0,42
waksman_4x4,default,2-1-3-0,2,3,routed,,769.393798,11,4,2.922362,1.686575,1.235788,379.000000,390.393798,0.928575,11.082975,4,physical,0,42
waksman_4x4,default,2-1-3-0,3,0,failed,"cannot route waksman_4x4_s1_w0_2.th to waksman_4x4_s2_w0_1.in on physical grid counters=port_access:0,window:0,same_net:17,crossing_candidate:0,crossing_budget:0,hard_reserved_crossing:0,soft_repeated_crossing:0,soft_reserved_crossing:0,reserved_spacing:0,segment:5,pops:12,max_heap:3",,,,,2.420385,,393.000000,,1.634385,7.566281,4,physical,0,42
waksman_4x4,default,3-2-0-1,0,3,routed,,681.247780,12,3,3.134117,2.193621,0.940496,391.000000,290.247780,1.411621,7.911880,4,physical,1,42
waksman_4x4,default,3-2-0-1,1,2,routed,,631.393798,11,3,3.029409,2.137621,0.891788,363.000000,268.393798,1.411621,7.972332,4,physical,1,42
waksman_4x4,default,3-2-0-1,2,0,routed,,613.539816,10,8,3.228418,1.905339,1.323080,377.000000,236.539816,1.151339,11.280214,4,physical,1,42
waksman_4x4,default,3-2-0-1,3,1,routed,,1024.663706,16,8,4.080666,2.033339,2.047327,441.000000,583.663706,1.151339,11.161267,4,physical,1,42
spanke_benes_4x4,default,2-1-3-0,0,2,routed,,1116.517688,17,6,4.775185,3.135149,1.640035,639.000000,477.517688,1.857149,6.950375,4,physical,0,42
spanke_benes_4x4,default,2-1-3-0,1,1,routed,,781.831853,8,4,3.638049,2.712385,0.925664,539.000000,242.831853,1.634385,7.815852,4,physical,0,42
spanke_benes_4x4,default,2-1-3-0,2,3,routed,,935.539816,10,3,3.149654,2.126575,1.023080,599.000000,336.539816,0.928575,10.667698,4,physical,0,42
spanke_benes_4x4,default,2-1-3-0,3,0,routed,,966.955743,14,3,4.421344,3.339432,1.081911,611.000000,355.955743,2.117432,5.648899,4,physical,0,42
spanke_benes_4x4,default,3-2-0-1,0,3,routed,,966.955743,14,3,4.421344,3.339432,1.081911,611.000000,355.955743,2.117432,4.899655,4,physical,1,42
spanke_benes_4x4,default,3-2-0-1,1,2,routed,,909.247780,12,3,4.295928,3.283432,1.012496,583.000000,326.247780,2.117432,5.413230,4,physical,1,42
spanke_benes_4x4,default,3-2-0-1,2,0,routed,,833.393798,11,4,3.756173,2.768385,0.987788,567.000000,266.393798,1.634385,7.828069,4,physical,1,42
spanke_benes_4x4,default,3-2-0-1,3,1,routed,,1068.955743,14,4,4.242297,2.888385,1.353911,627.000000,441.955743,1.634385,8.394864,4,physical,1,42
padded_benes_8x8,default,3-1-2-4-0,0,3,routed,,1063.933614,21,8,5.112781,3.365913,1.746867,643.000000,420.933614,2.079913,7.797064,5,physical,0,42
padded_benes_8x8,default,3-1-2-4-0,1,1,routed,,1232.663706,16,7,4.359147,2.519820,1.839327,703.000000,529.663706,1.113820,17.479472,5,physical,0,42
padded_benes_8x8,default,3-1-2-4-0,2,2,routed,,1559.495559,24,11,6.418904,3.693913,2.724991,807.000000,752.495559,2.079913,6.665350,5,physical,0,42
padded_benes_8x8,default,3-1-2-4-0,3,4,routed,,1502.911486,28,6,6.308783,4.072960,2.235823,755.000000,747.911486,2.562960,6.213122,5,physical,0,42
padded_benes_8x8,default,3-1-2-4-0,4,0,failed,"cannot route padded_benes_8x8_s3_w0_2.th to padded_benes_8x8_s4_w0_1.in on physical grid counters=port_access:0,window:0,same_net:21,crossing_candidate:0,crossing_budget:0,hard_reserved_crossing:0,soft_repeated_crossing:0,soft_reserved_crossing:0,reserved_spacing:0,segment:5,pops:15,max_heap:3",,,,,3.952960,,695.000000,,2.562960,6.697651,5,physical,0,42
padded_benes_8x8,default,3-2-0-4-1,0,3,routed,,1041.933614,21,9,5.168781,3.365913,1.802867,643.000000,398.933614,2.079913,7.797064,5,physical,1,42
padded_benes_8x8,default,3-2-0-4-1,1,2,routed,,1208.225651,19,8,5.391365,3.429913,1.961451,675.000000,533.225651,2.079913,7.498947,5,physical,1,42
padded_benes_8x8,default,3-2-0-4-1,2,0,routed,,1575.787596,22,11,6.924535,4.200960,2.723575,819.000000,756.787596,2.562960,4.819887,5,physical,1,42
padded_benes_8x8,default,3-2-0-4-1,3,4,routed,,1435.349541,25,7,6.258659,4.072960,2.185699,755.000000,680.349541,2.562960,6.213122,5,physical,1,42
padded_benes_8x8,default,3-2-0-4-1,4,1,routed,,1332.765467,29,5,6.356538,4.468007,1.888531,711.000000,621.765467,3.046007,4.878192,5,physical,1,42
waksman_5x5,default,3-1-2-4-0,0,3,routed,,1302.079633,20,11,5.661309,3.095149,2.566159,619.000000,683.079633,1.857149,7.424391,5,physical,0,42
waksman_5x5,default,3-1-2-4-0,1,1,routed,,1144.955743,14,10,4.028203,1.994292,2.033911,663.000000,481.955743,0.668292,18.777157,5,physical,0,42
waksman_5x5,default,3-1-2-4-0,2,2,routed,,1168.371669,18,6,4.661129,2.848385,1.812743,607.000000,561.371669,1.634385,7.551369,5,physical,0,42
waksman_5x5,default,3-1-2-4-0,3,4,failed,"cannot route waksman_5x5_s1_w0_2.th to waksman_5x5_s2_w0_4.in on physical grid counters=port_access:0,window:0,same_net:10,crossing_candidate:0,crossing_budget:0,hard_reserved_crossing:0,soft_repeated_crossing:0,soft_reserved_crossing:0,reserved_spacing:0,segment:2,pops:5,max_heap:2",,,,,3.391432,,637.000000,,2.117432,4.911823,5,physical,0,42
waksman_5x5,default,3-1-2-4-0,4,0,routed,,829.685835,9,7,3.555710,2.305339,1.250372,577.000000,252.685835,1.151339,11.518892,5,physical,0,42
waksman_5x5,default,3-2-0-4-1,0,3,routed,,1317.787596,22,10,5.602725,3.095149,2.507575,619.000000,698.787596,1.857149,7.424391,5,physical,1,42
waksman_5x5,default,3-2-0-4-1,1,2,routed,,1104.809725,15,9,4.819005,2.904385,1.914619,635.000000,469.809725,1.634385,7.849914,5,physical,1,42
waksman_5x5,default,3-2-0-4-1,2,0,routed,,1018.663706,16,6,4.834760,3.355432,1.479327,619.000000,399.663706,2.117432,5.237131,5,physical,1,42
waksman_5x5,default,3-2-0-4-1,3,4,routed,,1048.663706,16,8,5.094760,3.391432,1.703327,637.000000,411.663706,2.117432,4.911823,5,physical,1,42
waksman_5x5,default,3-2-0-4-1,4,1,routed,,936.955743,14,5,4.078297,2.820385,1.257911,593.000000,343.955743,1.634385,8.436391,5,physical,1,42
spanke_benes_5x5,default,3-1-2-4-0,0,3,routed,,1485.933614,21,7,6.339827,4.316960,2.022867,877.000000,608.933614,2.562960,3.982697,5,physical,0,42
spanke_benes_5x5,default,3-1-2-4-0,1,1,routed,,991.831853,8,6,4.480813,3.323149,1.157664,733.000000,258.831853,1.857149,7.354263,5,physical,0,42
spanke_benes_5x5,default,3-1-2-4-0,2,2,routed,,1562.079633,20,8,6.104073,3.865913,2.238159,893.000000,669.079633,2.079913,6.806477,5,physical,0,42
spanke_benes_5x5,default,3-1-2-4-0,3,4,routed,,1147.539816,10,3,3.573654,2.546575,1.027080,809.000000,338.539816,0.928575,10.279425,5,physical,0,42
spanke_benes_5x5,default,3-1-2-4-0,4,0,routed,,1304.371669,18,4,5.921986,4.521243,1.400743,849.000000,455.371669,2.823243,3.578313,5,physical,0,42
spanke_benes_5x5,default,3-2-0-4-1,0,3,routed,,1485.933614,21,7,6.339827,4.316960,2.022867,877.000000,608.933614,2.562960,3.990191,5,physical,1,42
spanke_benes_5x5,default,3-2-0-4-1,1,2,routed,,1406.371669,18,7,6.165703,4.260960,1.904743,849.000000,557.371669,2.562960,4.505371,5,physical,1,42
spanke_benes_5x5,default,3-2-0-4-1,2,0,routed,,1043.393798,11,6,4.598937,3.379149,1.219788,761.000000,282.393798,1.857149,7.131760,5,physical,1,42
spanke_benes_5x5,default,3-2-0-4-1,3,4,routed,,1147.539816,10,3,3.573654,2.546575,1.027080,809.000000,338.539816,0.928575,10.279425,5,physical,1,42
spanke_benes_5x5,default,3-2-0-4-1,4,1,routed,,1416.225651,19,5,5.767647,4.070196,1.697451,865.000000,551.225651,2.340196,5.331719,5,physical,1,42
