topology,layout,permutation,route_status,paths,routed_paths,failed_paths,drc_violation_count,crossing_count,braid_pair_count,max_pair_crossing_count,repeated_crossing_pairs,topology_wiring_um,physical_wiring_um,wiring_delta_um,topology_worst_il_db,physical_worst_il_db,worst_il_delta_db,avg_il_delta_db,grid_pitch_um,grid_merge_tol_um,min_spacing_um,mrr_keepout_um,port_escape_um,crossing_penalty_um,turn_guard_um,turn_timing_penalty_um,backtrack_penalty_um,hairpin_penalty_um,loss_aware_cost,prop_loss_db_per_um,bend_loss_db_per_bend,crossing_loss_db_per_cross,repeated_crossing_loss_db,jog_penalty_db,bend_placement_penalty_db,max_astar_pops,ripup_max_astar_pops,local_repair_max_shift_tracks,route_window_max_detour_tracks,effective_route_window_slack_um,grid_margin_tracks,stage_pitch_um,wire_pitch_um,x_start_um,x_end_um,astar_calls,ripup_passes,ripup_passes_executed,early_stop_enabled,early_stopped,n_logical,layer,perm_idx,seed,runtime_s,failure_rate
padded_benes_4x4,default,2-1-3-0,routed,4,4,0,0,18,5,5,I0-I1:2;I0-I2:5;I1-I2:4;I1-I3:2;I2-I3:4,1636.000000,3407.092880,1771.092880,2.420385,4.674790,2.254405,1.861796,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,True,0.002,0.005,0.1,0.8,0.005,0.01,20000,10000,16,12,101.0,12,105.0,36.0,20.0,365.000000,8,3,1,True,False,4,physical,0,42,4.862051,0.0
padded_benes_4x4,default,3-2-0-1,routed,4,4,0,0,13,2,5,I0-I1:5;I2-I3:4,1636.000000,3245.676953,1609.676953,2.484385,4.199005,1.714619,1.526088,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,True,0.002,0.005,0.1,0.8,0.005,0.01,20000,10000,16,12,101.0,12,105.0,36.0,20.0,365.000000,6,3,1,True,False,4,physical,1,42,3.891907,0.0
waksman_4x4,default,2-1-3-0,failed,4,3,1,0,6,3,2,I0-I1:2;I0-I2:2;I1-I2:2,1572.000000,2298.035376,726.035376,2.420385,2.958787,0.538402,1.202690,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,True,0.002,0.005,0.1,0.8,0.005,0.01,20000,10000,16,12,101.0,12,105.0,36.0,20.0,365.000000,30,3,3,True,True,4,physical,0,42,10.355421,0.25
waksman_4x4,default,3-2-0-1,routed,4,4,0,0,11,1,6,I2-I3:6,1572.000000,2950.845100,1378.845100,2.193621,4.080666,1.887045,1.300673,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,True,0.002,0.005,0.1,0.8,0.005,0.01,20000,10000,16,12,101.0,12,105.0,36.0,20.0,365.000000,4,3,1,True,False,4,physical,1,42,3.338946,0.0
spanke_benes_4x4,default,2-1-3-0,routed,4,4,0,0,8,2,3,I0-I1:3;I0-I2:2,2388.000000,3800.845100,1412.845100,3.339432,4.775185,1.435753,1.167673,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,True,0.002,0.005,0.1,0.8,0.005,0.01,20000,10000,16,12,101.0,12,105.0,36.0,20.0,575.000000,7,3,1,True,False,4,physical,0,42,4.689403,0.0
spanke_benes_4x4,default,3-2-0-1,routed,4,4,0,0,7,1,2,I2-I3:2,2388.000000,3778.553063,1390.553063,3.339432,4.421344,1.081911,1.109027,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,True,0.002,0.005,0.1,0.8,0.005,0.01,20000,10000,16,12,101.0,12,105.0,36.0,20.0,575.000000,6,3,1,True,False,4,physical,1,42,4.317683,0.0
padded_benes_8x8,default,3-1-2-4-0,failed,5,4,1,0,16,5,4,I0-I1:2;I0-I2:4;I0-I3:2;I1-I2:4;I2-I3:3,3603.000000,5359.004365,1756.004365,4.072960,6.418904,2.345944,2.136752,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,True,0.002,0.005,0.1,0.8,0.005,0.01,20000,10000,16,12,101.0,12,105.0,36.0,20.0,575.000000,36,3,3,True,True,5,physical,0,42,55.013295,0.2
padded_benes_8x8,default,3-2-0-4-1,routed,5,5,0,0,20,6,3,I0-I1:3;I0-I2:3;I0-I3:2;I1-I2:3;I2-I3:3;I2-I4:2,3603.000000,6594.061870,2991.061870,4.468007,6.924535,2.456528,2.112425,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,True,0.002,0.005,0.1,0.8,0.005,0.01,20000,10000,16,12,101.0,12,105.0,36.0,20.0,575.000000,13,3,1,True,False,5,physical,1,42,24.105813,0.0
waksman_5x5,default,3-1-2-4-0,failed,5,4,1,0,17,5,5,I0-I1:5;I0-I2:3;I0-I4:3;I1-I2:2;I1-I4:3,3103.000000,4445.092880,1342.092880,3.391432,5.661309,2.269876,1.915796,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,True,0.002,0.005,0.1,0.8,0.005,0.01,20000,10000,16,12,101.0,12,105.0,36.0,20.0,575.000000,32,3,3,True,True,5,physical,0,42,19.812219,0.2
waksman_5x5,default,3-2-0-4-1,routed,5,5,0,0,19,5,5,I0-I1:5;I0-I3:3;I1-I3:2;I2-I3:2;I2-I4:2,3103.000000,5426.880476,2323.880476,3.391432,5.602725,2.211292,1.772552,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,True,0.002,0.005,0.1,0.8,0.005,0.01,20000,10000,16,12,101.0,12,105.0,36.0,20.0,575.000000,7,3,1,True,False,5,physical,1,42,7.871135,0.0
