topology,layout,paths,worst_il_db,avg_il_db,il_p50_db,il_p90_db,il_p95_db,il_p99_db,worst_sxr_db,avg_sxr_db,sxr_p01_db,sxr_p05_db,sxr_violation_count,n_logical,n_physical,layer,seed,eval_mode,train_perms,eval_perms,n_mrr,n_stages,avg_crossing_count
padded_benes_4x4,default,40,2.9354322285712184,2.090100336016505,2.0253386370801176,2.4843854328256687,2.540385432825668,2.9354322285712184,5.516525444102916,11.331623270334225,5.516525444102916,7.497953028032369,40,4,4,logical,42,exhaustive,14,10,6,3,2.9
waksman_4x4,default,40,2.9354322285712184,1.946718362460744,2.0253386370801176,2.476385432825668,2.4843854328256687,2.9354322285712184,5.826867781502603,11.612743277293662,5.826867781502603,7.506612293307288,35,4,4,logical,42,exhaustive,14,10,5,3,1.0
spanke_benes_4x4,default,40,3.3394322285712184,2.4661003360165052,2.68410258419164,3.2834322285712183,3.3394322285712184,3.3394322285712184,4.899655180871968,11.449323612037997,4.899655180871968,4.899655180871968,37,4,4,logical,42,exhaustive,14,10,6,5,0.0
padded_benes_8x8,default,250,5.095053714285364,3.339996736920669,3.2988665313031627,4.072960122794263,4.468006918539814,4.644006918539814,3.798407467455365,9.970422472913054,4.42208944056088,4.716974302011028,244,5,8,logical,42,exhaustive,70,50,20,5,9.58
waksman_5x5,default,250,3.610196175682741,2.6689538884602886,2.8203854328256677,3.3914322285712184,3.3914322285712184,3.6101961756827405,4.761920165662775,10.024862664287818,4.911823430840712,5.061285697027225,244,5,5,logical,42,exhaustive,70,50,8,5,6.38
spanke_benes_5x5,default,250,4.521242971428292,3.5949724928905114,3.865913327048713,4.521242971428292,4.521242971428292,4.521242971428292,2.4684570719318963,7.630776000484005,2.4684570719318963,2.4684570719318963,244,5,5,logical,42,exhaustive,70,50,10,7,0.0
padded_benes_8x8,default,1320,5.095053714285364,3.434124833192872,3.429913327048714,4.136960122794263,4.588006918539814,4.644006918539814,2.3735282106961817,9.165308788491227,2.939728484861765,4.277124136326688,1320,6,8,logical,42,exhaustive,500,220,20,5,14.295454545454545
waksman_6x6,default,1320,4.261242971428291,2.935430027856576,2.8843854328256677,3.690196175682741,3.746196175682741,4.261242971428291,3.104319734571331,9.104083736204121,3.442738425802565,4.925449822463401,1242,6,6,logical,42,exhaustive,500,220,11,5,7.0
spanke_benes_6x6,default,1320,5.703053714285364,4.480060064122034,4.560960122794263,5.498770865651336,5.703053714285364,5.703053714285364,0.3175461989942596,6.192327604724697,0.3175461989942596,1.6196052497405835,1288,6,6,logical,42,exhaustive,500,220,15,9,0.0
padded_benes_8x8,default,2100,5.095053714285364,3.4850724947608045,3.4939133270487135,4.136960122794263,4.524006918539814,4.644006918539814,1.4582364793191842,8.719052046918526,2.9082276795819135,4.343798939312654,2100,7,8,logical,42,sample,500,300,20,5,18.923333333333332
waksman_7x7,default,2100,4.983053714285364,3.1545156880910326,3.1708665313031625,3.880960122794263,4.149242971428292,4.468006918539814,1.5034470260768078,8.43796860912376,3.0322939929085764,3.6613012218300085,2054,7,7,logical,42,sample,500,300,14,5,17.99
spanke_benes_7x7,default,2100,6.884864457142438,5.383302866586558,5.672006918539814,6.433817661396887,6.828864457142437,6.884864457142438,-1.6560770043390618,4.629611557543587,-1.6560770043390618,-0.2203964197160255,2054,7,7,logical,42,sample,500,300,21,11,0.0
padded_benes_8x8,default,2400,5.095053714285364,3.551672122385527,3.6139133270487127,4.192960122794263,4.524006918539814,4.660006918539814,1.4430001952113276,7.7363243518474825,2.7710112600788883,3.1349932969351886,2400,8,8,logical,42,sample,500,300,20,5,22.92
waksman_8x8,default,2400,5.095053714285364,3.312158538108615,3.2988665313031627,4.136960122794263,4.468006918539814,4.644006918539814,1.521981611229267,8.04880966165763,2.828384832963429,3.3201499935007686,2400,8,8,logical,42,sample,500,300,17,5,19.776666666666667
spanke_benes_8x8,default,2400,8.06667519999951,6.329583485929041,6.649534812762859,7.615628404253959,7.8623923513654805,8.06667519999951,-3.507355643502266,3.0594285395502436,-3.507355643502266,-2.0441762470593012,2365,8,8,logical,42,sample,500,300,28,13,0.0
padded_benes_16x16,default,2700,7.61467519999951,5.06117963357765,5.1354412212717575,6.005534812762858,6.285534812762858,6.787628404253958,-0.17069614735129177,6.459424905650455,1.2254981878884574,1.8656330724718637,2664,9,16,logical,42,sample,500,300,56,7,37.413333333333334
waksman_9x9,default,2700,6.092864457142438,3.999736960713066,4.0419133270487135,4.789242971428291,5.008006918539814,5.446770865651337,-0.17474983952110373,6.808458763522455,1.4151386206065575,2.5823632312288374,2664,9,9,logical,42,sample,500,300,21,7,34.163333333333334
spanke_benes_9x9,default,2700,9.248485942856583,7.255210394695459,7.571742055306865,8.677439147111034,8.988203094222555,9.248485942856583,-5.269085856136206,1.7693653919969734,-5.269085856136206,-3.3724554756903604,2664,9,9,logical,42,sample,500,300,36,15,0.0
padded_benes_16x16,default,3000,7.61467519999951,5.169843951096189,5.1914412212717576,6.165534812762859,6.46458160850841,6.85962840425396,-0.6564837163585037,5.976399334633922,0.3318816618380591,1.4514726939209823,3000,10,16,logical,42,sample,500,300,56,7,46.22
waksman_10x10,default,3000,6.092864457142438,4.229325327812201,4.225913327048713,5.064006918539814,5.240006918539814,5.691053714285364,0.10105990568237377,6.223157129226603,1.2495784490911468,2.4551343685675304,2939,10,10,logical,42,sample,500,300,25,7,40.63
spanke_benes_10x10,default,3000,10.430296685713657,8.188921889860007,8.455628404253961,9.817448139811571,9.979249889968106,10.430296685713657,-6.962421823467093,0.414393080051403,-6.962421823467093,-4.765287021057084,2973,10,10,logical,42,sample,500,300,45,17,0.0
