topology,n_logical,examples,train_examples,holdout_examples,mae_analytic,mae_calibrated,kendall_tau_analytic,kendall_tau_calibrated
padded_benes_16x16,9,17,10,7,3.337274571,0.270500462,0.809523810,0.904761905
padded_benes_16x16,10,18,11,7,3.512510857,0.395562896,0.619047619,0.714285714
padded_benes_16x16,11,21,13,8,3.297026625,0.187494669,0.785714286,0.857142857
padded_benes_16x16,12,21,13,8,4.055190500,0.188420141,0.500000000,0.928571429
padded_benes_16x16,13,19,11,8,3.775305500,0.327372369,0.571428571,0.785714286
padded_benes_16x16,14,23,14,9,4.447445444,0.270884260,0.555555556,0.833333333
padded_benes_16x16,15,25,15,10,4.056920400,0.302908955,0.377777778,0.688888889
padded_benes_16x16,16,24,14,10,4.410407200,0.350567034,0.511111111,0.822222222
padded_benes_4x4,4,11,7,4,1.604796250,0.195047977,0.000000000,1.000000000
padded_benes_8x8,5,13,8,5,2.273692000,0.123961648,0.800000000,1.000000000
padded_benes_8x8,6,15,9,6,2.668637000,0.112107527,0.714285714,0.866666667
padded_benes_8x8,7,17,10,7,2.423848286,0.221682130,0.523809524,0.809523810
padded_benes_8x8,8,17,10,7,2.842139143,0.241839384,0.714285714,0.809523810
spanke_benes_10x10,10,30,18,12,3.491360000,0.046706890,0.757575758,0.969696970
spanke_benes_11x11,11,31,19,12,4.366784583,0.078404156,0.875000000,1.000000000
spanke_benes_12x12,12,35,21,14,4.397542214,0.073140152,0.563218391,0.978021978
spanke_benes_13x13,13,38,23,15,4.474421133,0.066386461,0.692307692,0.980952381
spanke_benes_14x14,14,41,25,16,4.295427000,0.049801720,0.747899160,0.983333333
spanke_benes_15x15,15,45,27,18,5.485567167,0.094702131,0.633986928,1.000000000
spanke_benes_16x16,16,47,28,19,5.913998895,0.058764668,0.668639053,1.000000000
spanke_benes_4x4,4,12,7,5,1.123787600,0.079599873,0.777777778,1.000000000
spanke_benes_5x5,5,15,9,6,1.460460333,0.057934226,0.866666667,1.000000000
spanke_benes_6x6,6,18,11,7,2.043969571,0.067771754,0.904761905,1.000000000
spanke_benes_7x7,7,21,13,8,2.316929125,0.051236840,0.500000000,1.000000000
spanke_benes_8x8,8,24,14,10,2.769468900,0.052477278,0.636363636,1.000000000
spanke_benes_9x9,9,27,16,11,3.303343545,0.054797650,0.444444444,1.000000000
waksman_10x10,10,19,11,8,2.891136875,0.224707464,0.500000000,0.928571429
waksman_11x11,11,17,10,7,2.732788857,0.252164040,0.300000000,0.904761905
waksman_12x12,12,20,12,8,3.568827500,0.331370100,-0.071428571,0.857142857
waksman_13x13,13,23,14,9,2.809935222,0.170400044,0.666666667,0.611111111
waksman_14x14,14,23,14,9,3.898308667,0.317838646,0.333333333,0.833333333
waksman_15x15,15,21,13,8,3.182792000,0.286339897,0.714285714,0.785714286
waksman_16x16,16,27,16,11,3.336920273,0.228210591,0.454545455,0.927272727
waksman_4x4,4,12,7,5,1.327178400,0.108346693,0.000000000,0.600000000
waksman_5x5,5,13,8,5,1.616078200,0.294714808,1.000000000,1.000000000
waksman_6x6,6,15,9,6,2.464625500,0.253647417,0.714285714,0.866666667
waksman_7x7,7,17,10,7,2.617957286,0.129434716,0.047619048,0.809523810
waksman_8x8,8,17,10,7,2.906402286,0.261319077,0.444444444,0.904761905
waksman_9x9,9,20,12,8,2.514456000,0.221814356,0.555555556,1.000000000
