topology,n_logical,n_physical,n_mrr,n_stages
padded_benes_4x4,4,4,6,3
waksman_4x4,4,4,5,3
spanke_benes_4x4,4,4,6,5
padded_benes_8x8,5,8,20,5
waksman_5x5,5,5,8,5
spanke_benes_5x5,5,5,10,7
padded_benes_8x8,6,8,20,5
waksman_6x6,6,6,11,5
spanke_benes_6x6,6,6,15,9
padded_benes_8x8,7,8,20,5
waksman_7x7,7,7,14,5
spanke_benes_7x7,7,7,21,11
padded_benes_8x8,8,8,20,5
waksman_8x8,8,8,17,5
spanke_benes_8x8,8,8,28,13
padded_benes_16x16,9,16,56,7
waksman_9x9,9,9,21,7
spanke_benes_9x9,9,9,36,15
padded_benes_16x16,10,16,56,7
waksman_10x10,10,10,25,7
spanke_benes_10x10,10,10,45,17
padded_benes_16x16,11,16,56,7
waksman_11x11,11,11,29,7
spanke_benes_11x11,11,11,55,19
padded_benes_16x16,12,16,56,7
waksman_12x12,12,12,33,7
spanke_benes_12x12,12,12,66,21
padded_benes_16x16,13,16,56,7
waksman_13x13,13,13,37,7
spanke_benes_13x13,13,13,78,23
padded_benes_16x16,14,16,56,7
waksman_14x14,14,14,41,7
spanke_benes_14x14,14,14,91,25
padded_benes_16x16,15,16,56,7
waksman_15x15,15,15,45,7
spanke_benes_15x15,15,15,105,27
padded_benes_16x16,16,16,56,7
waksman_16x16,16,16,49,7
spanke_benes_16x16,16,16,120,29
