topology,layout,permutation,route_status,paths,routed_paths,failed_paths,drc_violation_count,crossing_count,braid_pair_count,max_pair_crossing_count,repeated_crossing_pairs,topology_wiring_um,physical_wiring_um,wiring_delta_um,topology_worst_il_db,physical_worst_il_db,worst_il_delta_db,avg_il_delta_db,grid_pitch_um,grid_merge_tol_um,min_spacing_um,mrr_keepout_um,port_escape_um,crossing_penalty_um,turn_guard_um,turn_timing_penalty_um,backtrack_penalty_um,hairpin_penalty_um,loss_aware_cost,prop_loss_db_per_um,bend_loss_db_per_bend,crossing_loss_db_per_cross,repeated_crossing_loss_db,jog_penalty_db,bend_placement_penalty_db,max_astar_pops,ripup_max_astar_pops,local_repair_max_shift_tracks,route_window_max_detour_tracks,effective_route_window_slack_um,grid_margin_tracks,stage_pitch_um,wire_pitch_um,x_start_um,x_end_um,astar_calls,ripup_passes,ripup_passes_executed,early_stop_enabled,early_stopped,n_logical,layer,perm_idx,seed,runtime_s,failure_rate
padded_benes_4x4,default,1-2-0,routed,3,3,0,0,4,1,2,I0-I1:2,1183.000000,2280.867229,1097.867229,1.175565,2.338892,1.163327,0.901911,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,8000,4000,8,4,37.0,12,105.0,36.0,20.0,365.000000,3,3,1,True,False,3,physical,0,42,0.416659,0.0
padded_benes_4x4,default,0-2-1,routed,3,3,0,0,5,2,2,I0-I1:2;I0-I2:2,1183.000000,2325.159265,1142.159265,1.175565,2.399600,1.224035,0.994773,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,8000,4000,8,4,37.0,12,105.0,36.0,20.0,365.000000,4,3,1,True,False,3,physical,1,42,0.497864,0.0
padded_benes_4x4,default,1-0-2,failed,3,2,1,0,2,1,2,I0-I2:2,1207.000000,1302.787596,95.787596,1.280232,1.820686,0.540455,0.587788,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,8000,4000,8,4,37.0,12,105.0,36.0,20.0,365.000000,7,3,4,True,True,3,physical,2,42,2.595794,0.3333333333333333
padded_benes_4x4,default,2-0-1,routed,3,3,0,0,5,2,2,I0-I1:2;I1-I2:2,1207.000000,2107.451302,900.451302,1.280232,2.172727,0.892496,0.696968,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,8000,4000,8,4,37.0,12,105.0,36.0,20.0,365.000000,2,3,1,True,False,3,physical,3,42,0.116210,0.0
padded_benes_4x4,default,0-1-2,routed,3,3,0,0,8,3,4,I0-I1:4;I0-I2:2;I1-I2:2,1207.000000,2160.619449,953.619449,1.292899,2.609394,1.316496,0.985746,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,8000,4000,8,4,37.0,12,105.0,36.0,20.0,365.000000,3,3,1,True,False,3,physical,4,42,0.612265,0.0
padded_benes_4x4,default,2-1-0,routed,3,3,0,0,6,2,3,I0-I1:3;I1-I2:2,1207.000000,2127.889357,920.889357,1.292899,2.477394,1.184496,0.772260,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,8000,4000,8,4,37.0,12,105.0,36.0,20.0,365.000000,3,3,1,True,False,3,physical,5,42,0.296323,0.0
waksman_3x3,default,1-2-0,routed,3,3,0,0,6,2,3,I0-I1:2;I0-I2:3,1071.000000,1932.765467,861.765467,1.022598,2.171053,1.148455,0.822844,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,8000,4000,8,4,37.0,12,105.0,36.0,20.0,365.000000,2,3,1,True,False,3,physical,0,42,0.096913,0.0
waksman_3x3,default,0-2-1,routed,3,3,0,0,5,2,2,I0-I1:2;I0-I2:2,1071.000000,1912.327412,841.327412,1.022598,1.866386,0.843788,0.747552,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,8000,4000,8,4,37.0,12,105.0,36.0,20.0,365.000000,1,3,1,True,False,3,physical,1,42,0.073555,0.0
waksman_3x3,default,1-0-2,routed,3,3,0,0,3,1,2,I0-I2:2,1071.000000,2174.619449,1103.619449,1.104232,2.117177,1.012945,0.785746,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,8000,4000,8,4,37.0,12,105.0,36.0,20.0,365.000000,3,3,1,True,False,3,physical,2,42,0.237835,0.0
waksman_3x3,default,2-0-1,routed,3,3,0,0,4,1,2,I1-I2:2,1071.000000,1916.619449,845.619449,1.022598,1.943761,0.921163,0.680413,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,8000,4000,8,4,37.0,12,105.0,36.0,20.0,365.000000,1,3,1,True,False,3,physical,3,42,0.110297,0.0
