topology,n_logical,n_mrr,n_stages,worst_il_db,avg_il_db,il_p95_db,worst_sxr_db,sxr_violation_count,physical_attempts,physical_failure_rate,physical_worst_il_db,physical_runtime_s_avg
padded_benes_4x4,3,6,3,1.2928987946072859,1.1388984043194315,1.2928987946072859,16.226352891716623,5,6,0.055556,2.609394,0.762891
waksman_3x3,3,3,3,1.1042317376527648,0.9912654727836697,1.0605987360641076,15.963169775647373,4,6,0.000000,2.317177,0.141609
spanke_benes_3x3,3,3,3,0.9208987946072856,0.8045988061170031,0.9101317961959428,16.139084996863467,4,6,0.000000,2.537394,0.118697
spanke_benes_rect_3x3,3,3,3,0.9208987946072856,0.8045988061170031,0.9101317961959428,16.139084996863467,4,6,0.000000,2.537394,0.118810
padded_benes_4x4,4,6,3,1.3315646806982442,1.1774538948270117,1.2928987946072859,15.742243391814604,64,24,0.041667,4.139058,1.256457
waksman_4x4,4,5,3,1.1928987946072858,1.0309707623924638,1.1802317376527647,15.864242141755827,40,24,0.010417,3.623807,1.037345
spanke_benes_4x4,4,6,5,1.5108313243454758,1.3098982091755051,1.4451980025218603,13.348004461779354,36,24,0.000000,4.019575,0.677919
spanke_benes_rect_4x4,4,6,4,1.2351980025218603,1.0998982091755045,1.2351980025218603,14.653190696647266,44,24,0.000000,3.507941,0.611367
padded_benes_8x8,5,20,5,3.0094972104364346,2.5325551547370315,2.9085312658022966,12.852549921766235,576,120,0.078333,6.875651,6.857550
waksman_5x5,5,8,5,2.3694972104364345,1.8643092113059905,2.1188976237437234,12.597042248705321,480,120,0.125000,4.703316,5.104710
spanke_benes_5x5,5,10,7,2.100763854083667,1.8189309455673417,2.0351305322600517,11.315199620028451,358,120,0.000000,5.477755,1.700294
spanke_benes_rect_5x5,5,10,5,1.5494972104364346,1.39893094556734,1.5494972104364346,13.36136791705476,390,120,0.000000,4.378736,1.207947
padded_benes_8x8,6,20,5,3.2094972104364343,2.651223236102623,3.089497210436434,12.159170955189229,4224,10,0.183333,5.808152,16.055801
waksman_6x6,6,11,5,2.550831324345476,1.9952682162771418,2.433497210436434,12.259072429626363,3684,10,0.200000,,14.158203
spanke_benes_6x6,6,15,9,2.690696383821858,2.3298303486258565,2.5594297401746258,9.652562691023569,4008,10,0.000000,6.288886,4.226080
spanke_benes_rect_6x6,6,15,6,1.8637964183510098,1.6998303486258335,1.8637964183510092,12.323927853899914,3360,10,0.000000,5.046122,2.799425
padded_benes_8x8,7,20,5,3.2094972104364343,2.71705407077333,3.1534972104364343,11.676958767660405,2063,10,0.228571,5.836234,18.315013
waksman_7x7,7,14,5,3.4094972104364345,2.4514052636197636,3.238164267390956,11.447121773027725,1963,10,0.257143,5.460773,20.105729
spanke_benes_7x7,7,21,11,3.2806289135600486,2.8428827456268944,3.1493622699128156,8.21172551559366,1966,10,0.000000,8.100741,6.575954
spanke_benes_rect_7x7,7,21,7,2.178095626265584,2.0028827456268945,2.178095626265583,11.331656417838643,1938,10,0.000000,5.684669,4.371883
padded_benes_8x8,8,20,5,3.248163096527393,2.765249472988426,3.1581642673909553,11.616675435670242,2375,10,0.300000,,28.381565
waksman_8x8,8,17,5,3.309497210436434,2.5511880959612823,3.089497210436435,11.676958767660405,2298,10,0.225000,6.950235,22.095268
spanke_benes_8x8,8,28,13,3.8705614432982394,3.353688058592752,3.673661477827391,6.916394496618614,2332,10,0.000000,9.043164,9.510655
spanke_benes_rect_8x8,8,28,8,2.4923948341801587,2.303688058592767,2.479727777225638,10.506138315591983,2332,10,0.000000,6.476302,7.820900
padded_benes_16x16,9,56,7,6.158095626265584,5.020757059116768,5.763429740174626,8.113006175082155,2668,10,0.377778,,73.397314
waksman_9x9,9,21,7,5.050762683220104,3.4833078572870297,4.070463475305529,8.827586618757287,2582,10,0.311111,,41.592478
spanke_benes_9x9,9,36,15,4.46049397303643,3.868351256793716,4.2635940075655805,5.7248406094977256,2631,10,0.000000,11.041101,15.657822
spanke_benes_rect_9x9,9,36,9,2.8066940420947333,2.608351256793718,2.7940269851402117,9.671704814377605,2631,10,0.000000,6.984224,10.470000
padded_benes_16x16,10,56,7,6.358095626265584,5.121241146380023,5.914762683220104,7.9004743127004895,2981,10,0.400000,,76.516472
waksman_10x10,10,25,7,5.332096797129147,3.7682810371486077,4.451797589214571,8.264820044513971,2863,10,0.320000,,60.680514
spanke_benes_10x10,10,45,17,5.05042650277462,4.381075068328225,4.84085948034925,4.609214280068155,2922,10,0.000000,11.767974,24.766079
spanke_benes_rect_10x10,10,45,10,3.1209932500093074,2.9110750683282736,3.1083261930547863,8.968584215028812,2922,10,0.000000,7.590303,19.082648
padded_benes_16x16,11,56,7,6.506762683220105,5.258036413481022,6.048463444281419,7.67267675986191,3278,10,0.427273,,100.856756
waksman_11x11,11,29,7,5.860096797129147,4.116387174680181,4.908081017128916,7.463859010073164,3174,10,0.454545,,88.376419
spanke_benes_11x11,11,55,19,5.64035903251281,4.894145957109576,5.377825745218345,3.554899190818394,3242,10,0.018182,13.276738,39.762649
spanke_benes_rect_11x11,11,55,11,3.435292457923882,3.214145957109598,3.3966265718329236,8.231685954088485,3242,10,0.000000,8.566864,29.580234
padded_benes_16x16,12,56,7,6.558095626265583,5.378290990952605,6.150762683220105,7.457202035672247,3590,10,0.441667,,117.967199
waksman_12x12,12,33,7,5.811429740174626,4.166157899485652,5.214762683220105,7.696990443431599,3505,10,0.458333,,83.068989
spanke_benes_12x12,12,66,21,6.230291562251002,5.407004570773795,5.967758274956536,2.5557075400991307,3535,10,0.016667,14.526919,56.076784
spanke_benes_rect_12x12,12,66,12,3.749591665838456,3.5170045707738296,3.7109257797474973,7.6240416914292926,3535,10,0.000000,9.235397,38.342148
padded_benes_16x16,13,56,7,6.668096797129146,5.497011348115595,6.310095626265584,6.835088514324841,3879,10,0.492308,,120.624119
waksman_13x13,13,37,7,7.306762683220105,4.7085604075421355,5.84329597752465,6.396520257644525,3813,10,0.469231,,109.224847
spanke_benes_13x13,13,78,23,6.820224091989193,5.922228049976943,6.492057482871112,1.5863722714509552,3850,10,0.023077,15.386050,77.334533
spanke_benes_rect_13x13,13,78,13,4.0638908737530315,3.8222280499769234,4.025224987662072,6.973434838189276,3850,10,0.000000,10.135416,54.362483
padded_benes_16x16,14,56,7,6.7194297401746255,5.5955678603429995,6.435429740174626,6.59836198530464,4186,10,0.485714,,148.255117
waksman_14x14,14,41,7,7.158095626265584,4.9364638697060705,6.351429740174625,6.2680585587847615,4121,10,0.421429,,157.146497
spanke_benes_14x14,14,91,25,7.410156621727383,6.436179542277089,7.081990012609301,0.6518840376240231,4142,10,0.014286,18.705378,99.189504
spanke_benes_rect_14x14,14,91,14,4.378190081667606,4.1261795422770895,4.339524195576646,6.386441100772084,4142,10,0.000000,11.143132,69.811057
padded_benes_16x16,15,56,7,6.9194297401746265,5.681686012557719,6.530095626265584,6.616752115691785,4492,10,0.506667,,170.812911
waksman_15x15,15,45,7,7.158095626265585,5.221644771542566,6.605428569311062,6.837081425173167,4442,10,0.520000,,140.147247
spanke_benes_15x15,15,105,27,8.000089151465573,6.950978000006366,7.633256656256535,-0.2388981976228892,4450,10,0.013333,19.686704,127.696756
spanke_benes_rect_15x15,15,105,15,4.69248928958218,4.430978000006275,4.6411563465367,5.762701150864958,4450,10,0.000000,11.513004,94.168154
padded_benes_16x16,16,56,7,7.119429740174626,5.779535250056898,6.622762683220104,6.456969104390718,4797,10,0.525000,,173.565576
waksman_16x16,16,49,7,7.0147626832201055,5.280054216318524,6.478762683220104,6.603614008497605,4722,10,0.468750,,180.148802
spanke_benes_16x16,16,120,29,8.590021681203766,7.462436920678912,8.196221750262069,-1.1271367605061422,4764,10,0.006250,19.740591,156.243023
spanke_benes_rect_16x16,16,120,16,5.006788497496754,4.73243692067897,4.955455554451275,5.238223605826934,4764,10,0.000000,12.059510,123.174062
