topology,layout,paths,worst_il_db,avg_il_db,il_std_db,il_iqr_db,il_p50_db,il_p90_db,il_p95_db,il_p99_db,worst_sxr_db,avg_sxr_db,sxr_p01_db,sxr_p05_db,sxr_violation_count,n_logical,n_physical,layer,seed,eval_mode,train_perms,eval_perms,n_mrr,n_stages,avg_crossing_count,crossing_loss_db_per_cross
padded_benes_4x4,default,18,1.2928987946072859,1.1388984043194315,0.14692514658892705,0.06866705695452113,1.175564680698244,1.284031854739121,1.2928987946072859,1.2928987946072859,16.226352891716623,21.36237661963439,16.439683086438247,17.29300386532475,5,3,4,logical,43,exhaustive,0,6,6,3,2.0,0.1
waksman_3x3,default,18,1.1042317376527648,0.9912654727836697,0.05893632535151177,0.05133294304547942,0.9992654727836696,1.03168852946259,1.0605987360641076,1.0955051373350333,15.963169775647373,24.37895369617262,16.24680406029988,17.381341198909904,4,3,3,logical,43,exhaustive,0,6,3,3,2.0,0.1
spanke_benes_3x3,default,18,0.9208987946072856,0.804598806117003,0.07068268076198142,0.11607480197864362,0.842598415829149,0.8711553522443981,0.9101317961959428,0.9187453949250171,16.139084996863467,25.911820219111192,16.441327047563384,17.650295250363058,4,3,3,logical,43,exhaustive,0,6,3,3,0.0,0.1
spanke_benes_rect_3x3,default,18,0.9208987946072856,0.804598806117003,0.07068268076198142,0.11607480197864362,0.842598415829149,0.8711553522443981,0.9101317961959428,0.9187453949250171,16.139084996863467,25.911820219111192,16.441327047563384,17.650295250363058,4,3,3,logical,43,exhaustive,0,6,3,3,0.0,0.1
padded_benes_4x4,default,96,1.3315646806982442,1.1774538948270117,0.1397827445580968,0.14883323576136975,1.2288987946072858,1.2882317376527648,1.2928987946072859,1.3315646806982442,15.742243391814604,18.78051791883377,15.742243391814604,15.761267055104376,64,4,4,logical,43,exhaustive,0,24,6,3,3.0,0.1
waksman_4x4,default,96,1.1928987946072858,1.0309707623924642,0.1016683681310699,0.15600000000000014,1.0692311522209839,1.1738982091755044,1.1802317376527647,1.1928987946072858,15.864242141755827,22.362782869220457,15.870283544965266,16.231146782978,40,4,4,logical,43,exhaustive,0,24,5,3,1.0,0.1
spanke_benes_4x4,default,96,1.5108313243454758,1.309898209175505,0.10802184724335323,0.11999999999999988,1.333048398564573,1.4451980025218603,1.4451980025218603,1.5108313243454758,13.348004461779354,22.036590306495153,13.349824209948707,15.608124219253874,36,4,4,logical,43,exhaustive,0,24,6,5,0.0,0.1
spanke_benes_rect_4x4,default,96,1.2351980025218603,1.0998982091755043,0.09689720611118317,0.14804048141595771,1.1135646806982442,1.2225309455673394,1.2351980025218603,1.2351980025218603,14.653190696647266,22.12114919382412,14.653190696647265,15.848562707721369,44,4,4,logical,43,exhaustive,0,24,6,4,0.0,0.1
padded_benes_8x8,default,600,3.0094972104364346,2.5325551547370324,0.2886185545435606,0.30816734967041093,2.610163096527393,2.843297561695505,2.9085312658022966,2.95867759682141,12.852549921766235,16.360905863211944,12.857234052482893,13.127297966350396,576,5,8,logical,43,exhaustive,0,120,20,5,9.533333333333333,0.1
waksman_5x5,default,600,2.3694972104364345,1.8643092113059914,0.206577200014824,0.2199999999999993,1.9002317376527647,2.0675646806982444,2.1188976237437234,2.31867759682141,12.597042248705321,19.52852702014965,13.425429436237385,14.549221369532884,480,5,5,logical,43,exhaustive,0,120,8,5,6.5,0.1
spanke_benes_5x5,default,600,2.100763854083667,1.8189309455673428,0.14288829697394856,0.20859841582914918,1.8423470210473663,1.9694972104364346,2.0351305322600517,2.088223467698692,11.315199620028451,19.53327396754455,12.00425978222436,12.869859170154063,358,5,5,logical,43,exhaustive,0,120,10,7,0.0,0.1
spanke_benes_rect_5x5,default,600,1.5494972104364346,1.3989309455673402,0.12042119195811188,0.16029920791457442,1.4325309455673394,1.5368301534819135,1.5494972104364346,1.5494972104364346,13.36136791705476,19.64608360487762,13.368991151746597,14.355150993795787,390,5,5,logical,43,exhaustive,0,120,10,5,0.0,0.1
padded_benes_8x8,default,4320,3.2094972104364343,2.65122323610262,0.3029563923979769,0.3498338211931502,2.7228313243454756,2.9581642673909556,3.089497210436434,3.1581642673909553,12.159170955189229,15.687826730645044,12.39076708439101,13.083368822164667,4224,6,8,logical,43,exhaustive,0,720,20,5,14.2,0.1
waksman_6x6,default,4320,2.550831324345476,1.9952682162771394,0.202323806414202,0.24286697089227438,1.9927148700873125,2.269497210436435,2.433497210436434,2.5381642673909557,12.259072429626363,18.45568333574927,12.838688852319454,13.583127249187672,3684,6,6,logical,43,exhaustive,0,720,11,5,7.0,0.1
spanke_benes_6x6,default,4320,2.690696383821858,2.3298303486258547,0.17678889059608413,0.2355658515618062,2.359496039572872,2.547726015402465,2.5594297401746258,2.6780293268673363,9.652562691023569,17.665132089089127,10.174959794966776,11.505889552786567,4008,6,6,logical,43,exhaustive,0,720,15,9,0.0,0.1
spanke_benes_rect_6x6,default,4320,1.8637964183510098,1.6998303486258326,0.14238312719839227,0.18563332182361592,1.7421630965273933,1.8511293613964888,1.8637964183510092,1.8637964183510098,12.323927853899914,17.878465298697424,12.34291856200609,13.106505825615557,3360,6,6,logical,43,exhaustive,0,720,15,6,0.0,0.1
padded_benes_8x8,default,2100,3.2094972104364343,2.717336628669303,0.32512193498112835,0.37666705695452096,2.7641630965273927,3.089497210436435,3.1581642673909553,3.1708313243454755,11.676958767660405,15.234573199672095,12.128535313556124,12.814380928288315,2077,7,8,logical,43,sample,0,300,20,5,18.703333333333333,0.1
waksman_7x7,default,2100,3.4094972104364345,2.44644146970747,0.3571779295640965,0.47503373513090486,2.4598638886128184,2.8381642673909555,3.238164267390956,3.358164267390955,11.439715922275205,16.993023297894755,11.931053933000944,12.980082909301219,1970,7,7,logical,43,sample,0,300,14,5,18.01,0.1
spanke_benes_7x7,default,2100,3.2806289135600486,2.840673266421699,0.21230753509869868,0.2802992079145734,2.8751305322600516,3.0837289480892,3.1493622699128156,3.214995591736433,8.21172551559366,16.06297857005686,9.16190351025279,10.290668178214197,2008,7,7,logical,43,sample,0,300,21,11,0.0,0.1
spanke_benes_rect_7x7,default,2100,2.178095626265584,2.0006732664216935,0.1618817618205366,0.18563332182361658,2.069129361396488,2.1394297401746254,2.1654285693110635,2.178095626265584,11.331491769511553,16.269346514059666,11.42860473555808,12.058965968471822,1987,7,7,logical,43,sample,0,300,21,7,0.0,0.1
padded_benes_8x8,default,2400,3.248163096527393,2.766127227999412,0.3243163911267819,0.3866658860909582,2.8614972104364345,3.1068313243454764,3.1581642673909553,3.1968301534819137,11.612958767660405,14.497479759959067,11.688114710320091,12.170431558388202,2380,8,8,logical,43,sample,0,300,20,5,22.94,0.1
waksman_8x8,default,2400,3.309497210436434,2.548526988102569,0.3732172404559992,0.5480000000000009,2.5798638886128185,3.0381642673909557,3.089497210436435,3.2094972104364343,11.676958767660405,16.399164275726775,12.011511376704053,12.695354813743625,2285,8,8,logical,43,sample,0,300,17,5,19.773333333333333,0.1
spanke_benes_8x8,default,2400,3.8705614432982394,3.352076980005624,0.24487138924021384,0.37549721043643514,3.3724623044419677,3.6609944208728695,3.7266277426964862,3.8049281214746236,6.916410411231158,14.793041777462209,7.735607551632993,8.705249138393134,2319,8,8,logical,43,sample,0,300,28,13,0.0,0.1
spanke_benes_rect_8x8,default,2400,2.4923948341801587,2.3020769800056384,0.17814768894928157,0.21163215096005406,2.3897289480891994,2.4537289480892,2.479727777225638,2.4923948341801587,10.506138315591983,15.111498611476978,11.045826441805048,11.677721249571572,2319,8,8,logical,43,sample,0,300,28,8,0.0,0.1
padded_benes_16x16,default,2700,6.158095626265584,5.028197544559985,0.5352319689393842,0.6546658860909575,5.066095626265584,5.710095626265583,5.8147626832201045,5.950762683220105,8.113006175082155,11.623931062292185,8.374505368398728,9.025439034840685,2678,9,16,logical,43,sample,0,300,56,7,37.31333333333333,0.1
