topology,n_logical,n_mrr,n_stages,worst_il_db,avg_il_db,il_p95_db,worst_sxr_db,sxr_violation_count,physical_attempts,physical_failure_rate,physical_worst_il_db,physical_runtime_s_avg
padded_benes_4x4,3,6,3,1.2928987946072859,1.1388984043194315,1.2928987946072859,16.226352891716623,5,6,0.055556,2.609394,0.775805
waksman_3x3,3,3,3,1.1042317376527648,0.9912654727836697,1.0605987360641076,15.963169775647373,4,6,0.000000,2.317177,0.147775
spanke_benes_3x3,3,3,3,0.9208987946072856,0.804598806117003,0.9101317961959428,16.139084996863467,4,6,0.000000,2.537394,0.118533
spanke_benes_rect_3x3,3,3,3,0.9208987946072856,0.804598806117003,0.9101317961959428,16.139084996863467,4,6,0.000000,2.537394,0.118460
padded_benes_4x4,4,6,3,1.3315646806982442,1.1774538948270117,1.2928987946072859,15.742243391814604,64,24,0.041667,4.139058,1.257063
waksman_4x4,4,5,3,1.1928987946072858,1.0309707623924642,1.1802317376527647,15.864242141755827,40,24,0.010417,3.623807,1.040793
spanke_benes_4x4,4,6,5,1.5108313243454758,1.309898209175505,1.4451980025218603,13.348004461779354,36,24,0.000000,4.019575,0.679133
spanke_benes_rect_4x4,4,6,4,1.2351980025218603,1.0998982091755043,1.2351980025218603,14.653190696647266,44,24,0.000000,3.507941,0.599860
padded_benes_8x8,5,20,5,3.0094972104364346,2.5325551547370324,2.9085312658022966,12.852549921766235,576,120,0.078333,6.875651,6.847658
waksman_5x5,5,8,5,2.3694972104364345,1.8643092113059914,2.1188976237437234,12.597042248705321,480,120,0.125000,4.703316,5.119096
spanke_benes_5x5,5,10,7,2.100763854083667,1.8189309455673428,2.0351305322600517,11.315199620028451,358,120,0.000000,5.477755,1.703463
spanke_benes_rect_5x5,5,10,5,1.5494972104364346,1.3989309455673402,1.5494972104364346,13.36136791705476,390,120,0.000000,4.378736,1.209695
padded_benes_8x8,6,20,5,3.2094972104364343,2.65122323610262,3.089497210436434,12.159170955189229,4224,10,0.150000,6.942235,13.972987
waksman_6x6,6,11,5,2.550831324345476,1.9952682162771394,2.433497210436434,12.259072429626363,3684,10,0.200000,5.410938,18.754926
spanke_benes_6x6,6,15,9,2.690696383821858,2.3298303486258547,2.5594297401746258,9.652562691023569,4008,10,0.000000,6.615268,3.586496
spanke_benes_rect_6x6,6,15,6,1.8637964183510098,1.6998303486258326,1.8637964183510092,12.323927853899914,3360,10,0.000000,5.014122,2.338669
padded_benes_8x8,7,20,5,3.2094972104364343,2.717336628669303,3.1581642673909553,11.676958767660405,2077,10,0.200000,5.903485,17.501691
waksman_7x7,7,14,5,3.4094972104364345,2.44644146970747,3.238164267390956,11.439715922275205,1970,10,0.271429,4.473563,20.175502
spanke_benes_7x7,7,21,11,3.2806289135600486,2.840673266421699,3.1493622699128156,8.21172551559366,2008,10,0.000000,8.418116,6.829495
spanke_benes_rect_7x7,7,21,7,2.178095626265584,2.0006732664216935,2.1654285693110635,11.331491769511553,1987,10,0.000000,5.803171,4.407894
padded_benes_8x8,8,20,5,3.248163096527393,2.766127227999412,3.1581642673909553,11.612958767660405,2380,10,0.225000,7.060612,20.763235
waksman_8x8,8,17,5,3.309497210436434,2.548526988102569,3.089497210436435,11.676958767660405,2285,10,0.175000,5.933320,23.542077
spanke_benes_8x8,8,28,13,3.8705614432982394,3.352076980005624,3.7266277426964862,6.916410411231158,2319,10,0.000000,9.562663,11.924395
spanke_benes_rect_8x8,8,28,8,2.4923948341801587,2.3020769800056384,2.479727777225638,10.506138315591983,2319,10,0.000000,6.476302,8.489785
padded_benes_16x16,9,56,7,6.158095626265584,5.028197544559985,5.8147626832201045,8.113006175082155,2678,10,0.322222,,68.445802
waksman_9x9,9,21,7,5.050762683220104,3.4830505875024205,4.107863888612818,8.824952772657799,2592,10,0.366667,,45.411561
