topology,n_logical,layer,seed,eval_mode,eval_perms,crossing_loss_db_per_cross,worst_il_db,worst_sxr_db
padded_benes_4x4,4,logical,44,exhaustive,24,0.0,1.0315646806982441,16.0422433918146
padded_benes_4x4,4,logical,44,exhaustive,24,0.05,1.1815646806982443,15.892243391814603
padded_benes_4x4,4,logical,44,exhaustive,24,0.1,1.3315646806982442,15.742243391814604
padded_benes_4x4,4,logical,44,exhaustive,24,0.2,1.6315646806982442,15.4422433918146
padded_benes_4x4,4,logical,44,exhaustive,24,0.3,1.931564680698244,15.142243391814603
padded_benes_4x4,4,logical,44,exhaustive,24,0.5,2.531564680698244,14.542243391814601
padded_benes_4x4,4,logical,44,exhaustive,24,1.0,4.031564680698244,13.042243391814603
waksman_4x4,4,logical,44,exhaustive,24,0.0,0.9928987946072857,16.064242141755827
waksman_4x4,4,logical,44,exhaustive,24,0.05,1.0928987946072857,15.964242141755827
waksman_4x4,4,logical,44,exhaustive,24,0.1,1.1928987946072858,15.864242141755827
waksman_4x4,4,logical,44,exhaustive,24,0.2,1.3928987946072857,15.664242141755826
waksman_4x4,4,logical,44,exhaustive,24,0.3,1.5928987946072857,15.464242141755825
waksman_4x4,4,logical,44,exhaustive,24,0.5,1.9928987946072856,15.064242141755827
waksman_4x4,4,logical,44,exhaustive,24,1.0,2.9928987946072856,14.064242141755827
spanke_benes_4x4,4,logical,44,exhaustive,24,0.0,1.5108313243454758,13.348004461779354
spanke_benes_4x4,4,logical,44,exhaustive,24,0.05,1.5108313243454758,13.348004461779354
spanke_benes_4x4,4,logical,44,exhaustive,24,0.1,1.5108313243454758,13.348004461779354
spanke_benes_4x4,4,logical,44,exhaustive,24,0.2,1.5108313243454758,13.348004461779354
spanke_benes_4x4,4,logical,44,exhaustive,24,0.3,1.5108313243454758,13.348004461779354
spanke_benes_4x4,4,logical,44,exhaustive,24,0.5,1.5108313243454758,13.348004461779354
spanke_benes_4x4,4,logical,44,exhaustive,24,1.0,1.5108313243454758,13.348004461779354
spanke_benes_rect_4x4,4,logical,44,exhaustive,24,0.0,1.2351980025218603,14.653190696647266
spanke_benes_rect_4x4,4,logical,44,exhaustive,24,0.05,1.2351980025218603,14.653190696647266
spanke_benes_rect_4x4,4,logical,44,exhaustive,24,0.1,1.2351980025218603,14.653190696647266
spanke_benes_rect_4x4,4,logical,44,exhaustive,24,0.2,1.2351980025218603,14.653190696647266
spanke_benes_rect_4x4,4,logical,44,exhaustive,24,0.3,1.2351980025218603,14.653190696647266
spanke_benes_rect_4x4,4,logical,44,exhaustive,24,0.5,1.2351980025218603,14.653190696647266
spanke_benes_rect_4x4,4,logical,44,exhaustive,24,1.0,1.2351980025218603,14.653190696647266
padded_benes_8x8,6,logical,44,exhaustive,720,0.0,1.9094972104364345,13.259170955189232
padded_benes_8x8,6,logical,44,exhaustive,720,0.05,2.5594972104364344,12.709170955189231
padded_benes_8x8,6,logical,44,exhaustive,720,0.1,3.2094972104364343,12.159170955189229
padded_benes_8x8,6,logical,44,exhaustive,720,0.2,4.509497210436434,11.05917095518923
padded_benes_8x8,6,logical,44,exhaustive,720,0.3,5.809497210436435,9.959170955189231
padded_benes_8x8,6,logical,44,exhaustive,720,0.5,8.409497210436435,7.419957114235057
padded_benes_8x8,6,logical,44,exhaustive,720,1.0,14.909497210436435,0.9199571142350567
waksman_6x6,6,logical,44,exhaustive,720,0.0,1.6311968316582979,13.259072429626364
waksman_6x6,6,logical,44,exhaustive,720,0.05,2.050831324345476,12.759072429626361
waksman_6x6,6,logical,44,exhaustive,720,0.1,2.550831324345476,12.259072429626363
waksman_6x6,6,logical,44,exhaustive,720,0.2,3.550831324345476,11.259072429626363
waksman_6x6,6,logical,44,exhaustive,720,0.3,4.550831324345475,10.259072429626364
waksman_6x6,6,logical,44,exhaustive,720,0.5,6.550831324345475,8.259072429626361
waksman_6x6,6,logical,44,exhaustive,720,1.0,11.550831324345475,3.2590724296263627
spanke_benes_6x6,6,logical,44,exhaustive,720,0.0,2.690696383821858,9.652562691023569
spanke_benes_6x6,6,logical,44,exhaustive,720,0.05,2.690696383821858,9.652562691023569
spanke_benes_6x6,6,logical,44,exhaustive,720,0.1,2.690696383821858,9.652562691023569
spanke_benes_6x6,6,logical,44,exhaustive,720,0.2,2.690696383821858,9.652562691023569
spanke_benes_6x6,6,logical,44,exhaustive,720,0.3,2.690696383821858,9.652562691023569
spanke_benes_6x6,6,logical,44,exhaustive,720,0.5,2.690696383821858,9.652562691023569
spanke_benes_6x6,6,logical,44,exhaustive,720,1.0,2.690696383821858,9.652562691023569
spanke_benes_rect_6x6,6,logical,44,exhaustive,720,0.0,1.8637964183510098,12.323927853899914
spanke_benes_rect_6x6,6,logical,44,exhaustive,720,0.05,1.8637964183510098,12.323927853899914
spanke_benes_rect_6x6,6,logical,44,exhaustive,720,0.1,1.8637964183510098,12.323927853899914
spanke_benes_rect_6x6,6,logical,44,exhaustive,720,0.2,1.8637964183510098,12.323927853899914
spanke_benes_rect_6x6,6,logical,44,exhaustive,720,0.3,1.8637964183510098,12.323927853899914
spanke_benes_rect_6x6,6,logical,44,exhaustive,720,0.5,1.8637964183510098,12.323927853899914
spanke_benes_rect_6x6,6,logical,44,exhaustive,720,1.0,1.8637964183510098,12.323927853899914
padded_benes_8x8,8,logical,44,sample,300,0.0,1.9481630965273928,12.912958767660406
padded_benes_8x8,8,logical,44,sample,300,0.05,2.5981630965273927,12.262958767660406
padded_benes_8x8,8,logical,44,sample,300,0.1,3.248163096527393,11.612958767660405
padded_benes_8x8,8,logical,44,sample,300,0.2,4.548163096527393,10.312958767660405
padded_benes_8x8,8,logical,44,sample,300,0.3,5.848163096527393,9.012958767660406
padded_benes_8x8,8,logical,44,sample,300,0.5,8.448163096527393,6.412958767660406
padded_benes_8x8,8,logical,44,sample,300,1.0,14.948163096527393,-0.08704123233959264
waksman_8x8,8,logical,44,sample,300,0.0,1.9094972104364345,12.984378757668203
waksman_8x8,8,logical,44,sample,300,0.05,2.6094972104364342,12.334378757668201
waksman_8x8,8,logical,44,sample,300,0.1,3.309497210436434,11.6843787576682
waksman_8x8,8,logical,44,sample,300,0.2,4.709497210436434,10.384378757668202
waksman_8x8,8,logical,44,sample,300,0.3,6.109497210436434,9.084378757668201
waksman_8x8,8,logical,44,sample,300,0.5,8.909497210436435,6.4843787576682015
waksman_8x8,8,logical,44,sample,300,1.0,15.909497210436435,-0.015621242331798986
spanke_benes_8x8,8,logical,44,sample,300,0.0,3.8705614432982394,6.917864452208954
spanke_benes_8x8,8,logical,44,sample,300,0.05,3.8705614432982394,6.917864452208954
spanke_benes_8x8,8,logical,44,sample,300,0.1,3.8705614432982394,6.917864452208954
spanke_benes_8x8,8,logical,44,sample,300,0.2,3.8705614432982394,6.917864452208954
spanke_benes_8x8,8,logical,44,sample,300,0.3,3.8705614432982394,6.917864452208954
spanke_benes_8x8,8,logical,44,sample,300,0.5,3.8705614432982394,6.917864452208954
spanke_benes_8x8,8,logical,44,sample,300,1.0,3.8705614432982394,6.917864452208954
spanke_benes_rect_8x8,8,logical,44,sample,300,0.0,2.4923948341801587,10.506138315591983
spanke_benes_rect_8x8,8,logical,44,sample,300,0.05,2.4923948341801587,10.506138315591983
spanke_benes_rect_8x8,8,logical,44,sample,300,0.1,2.4923948341801587,10.506138315591983
spanke_benes_rect_8x8,8,logical,44,sample,300,0.2,2.4923948341801587,10.506138315591983
spanke_benes_rect_8x8,8,logical,44,sample,300,0.3,2.4923948341801587,10.506138315591983
spanke_benes_rect_8x8,8,logical,44,sample,300,0.5,2.4923948341801587,10.506138315591983
spanke_benes_rect_8x8,8,logical,44,sample,300,1.0,2.4923948341801587,10.506138315591983
padded_benes_16x16,12,logical,44,sample,300,0.0,3.2580956262655834,10.748133042395104
padded_benes_16x16,12,logical,44,sample,300,0.05,4.908095626265584,9.098133042395101
padded_benes_16x16,12,logical,44,sample,300,0.1,6.558095626265583,7.448133042395102
padded_benes_16x16,12,logical,44,sample,300,0.2,9.858095626265584,4.148133042395101
padded_benes_16x16,12,logical,44,sample,300,0.3,13.158095626265585,0.8481330423951017
padded_benes_16x16,12,logical,44,sample,300,0.5,19.758095626265582,-5.7518669576049
padded_benes_16x16,12,logical,44,sample,300,1.0,36.258095626265586,-22.2518669576049
waksman_12x12,12,logical,44,sample,300,0.0,2.640462304441968,10.798241651431626
waksman_12x12,12,logical,44,sample,300,0.05,4.211429740174626,9.248241651431625
waksman_12x12,12,logical,44,sample,300,0.1,5.811429740174626,7.6982416514316245
waksman_12x12,12,logical,44,sample,300,0.2,9.011429740174627,4.598241651431626
waksman_12x12,12,logical,44,sample,300,0.3,12.211429740174626,1.4982416514316268
waksman_12x12,12,logical,44,sample,300,0.5,18.611429740174625,-4.701758348568377
waksman_12x12,12,logical,44,sample,300,1.0,34.61142974017463,-20.20175834856837
spanke_benes_12x12,12,logical,44,sample,300,0.0,6.230291562251002,2.5502549236787253
spanke_benes_12x12,12,logical,44,sample,300,0.05,6.230291562251002,2.5502549236787253
spanke_benes_12x12,12,logical,44,sample,300,0.1,6.230291562251002,2.5502549236787253
spanke_benes_12x12,12,logical,44,sample,300,0.2,6.230291562251002,2.5502549236787253
spanke_benes_12x12,12,logical,44,sample,300,0.3,6.230291562251002,2.5502549236787253
spanke_benes_12x12,12,logical,44,sample,300,0.5,6.230291562251002,2.5502549236787253
spanke_benes_12x12,12,logical,44,sample,300,1.0,6.230291562251002,2.5502549236787253
spanke_benes_rect_12x12,12,logical,44,sample,300,0.0,3.749591665838456,7.640969459851652
spanke_benes_rect_12x12,12,logical,44,sample,300,0.05,3.749591665838456,7.640969459851652
spanke_benes_rect_12x12,12,logical,44,sample,300,0.1,3.749591665838456,7.640969459851652
spanke_benes_rect_12x12,12,logical,44,sample,300,0.2,3.749591665838456,7.640969459851652
spanke_benes_rect_12x12,12,logical,44,sample,300,0.3,3.749591665838456,7.640969459851652
spanke_benes_rect_12x12,12,logical,44,sample,300,0.5,3.749591665838456,7.640969459851652
spanke_benes_rect_12x12,12,logical,44,sample,300,1.0,3.749591665838456,7.640969459851652
padded_benes_16x16,16,logical,44,sample,300,0.0,3.2454285693110636,10.095793866143055
padded_benes_16x16,16,logical,44,sample,300,0.05,5.1694297401746265,8.296560671966063
padded_benes_16x16,16,logical,44,sample,300,0.1,7.119429740174626,6.446560671966063
padded_benes_16x16,16,logical,44,sample,300,0.2,11.019429740174626,2.746560671966063
padded_benes_16x16,16,logical,44,sample,300,0.3,14.919429740174625,-0.9534393280339366
padded_benes_16x16,16,logical,44,sample,300,0.5,22.719429740174625,-8.353439328033936
padded_benes_16x16,16,logical,44,sample,300,1.0,42.219429740174625,-27.609789634595266
waksman_16x16,16,logical,44,sample,300,0.0,3.2580956262655834,10.103632470700985
waksman_16x16,16,logical,44,sample,300,0.05,5.258095626265583,8.353632470700985
waksman_16x16,16,logical,44,sample,300,0.1,7.258095626265583,6.603632470700987
waksman_16x16,16,logical,44,sample,300,0.2,11.258095626265582,3.103632470700986
waksman_16x16,16,logical,44,sample,300,0.3,15.258095626265582,-0.39636752929901364
