topology,topology_family,n_logical,attempts,fully_routed_attempts,fully_routed_rate,drc_violation_attempts,worst_il_db,worst_il_permutation,routed_worst_il_mean_db,routed_worst_il_std_db,runtime_s_avg_all_attempts,runtime_s_avg_routed
padded_benes_16x16,padded_benes,9,10,0,0.000000,0,,,,,67.953325,
padded_benes_16x16,padded_benes,10,10,0,0.000000,0,,,,,81.620918,
padded_benes_16x16,padded_benes,11,10,0,0.000000,0,,,,,98.268552,
padded_benes_16x16,padded_benes,12,10,0,0.000000,0,,,,,104.179185,
padded_benes_16x16,padded_benes,13,10,0,0.000000,0,,,,,129.068097,
padded_benes_16x16,padded_benes,14,10,0,0.000000,0,,,,,136.554004,
padded_benes_16x16,padded_benes,15,10,0,0.000000,0,,,,,156.439138,
padded_benes_16x16,padded_benes,16,10,0,0.000000,0,,,,,181.290446,
padded_benes_4x4,padded_benes,3,6,5,0.833333,0,2.609394,0-1-2,2.439601,0.132216,0.756839,0.384523
padded_benes_4x4,padded_benes,4,24,20,0.833333,0,4.139058,2-1-0-3,3.229669,0.478064,1.258682,1.119169
padded_benes_8x8,padded_benes,5,120,84,0.700000,0,6.875651,0-1-3-2-4,5.347648,0.543223,6.867654,5.240432
padded_benes_8x8,padded_benes,6,10,5,0.500000,0,5.584152,2-1-5-0-4-3,5.453452,0.159679,12.460977,7.594291
padded_benes_8x8,padded_benes,7,10,4,0.400000,0,6.348819,3-5-0-1-4-2-6,6.062870,0.210992,18.028973,10.703812
padded_benes_8x8,padded_benes,8,10,0,0.000000,0,,,,,23.609109,
spanke_benes_10x10,spanke_benes,10,10,10,1.000000,0,11.071797,4-0-3-2-5-6-9-8-7-1,10.303255,0.579605,27.591010,27.591010
spanke_benes_11x11,spanke_benes,11,10,10,1.000000,0,12.541689,4-5-0-2-10-3-7-1-9-8-6,11.483393,0.758544,36.859809,36.859809
spanke_benes_12x12,spanke_benes,12,10,10,1.000000,0,14.727627,2-3-8-0-4-7-11-10-9-5-1-6,12.496500,1.423848,48.169025,48.169025
spanke_benes_13x13,spanke_benes,13,10,8,0.800000,0,15.475000,3-5-4-7-0-10-9-12-2-1-11-8-6,14.362808,0.698854,69.207643,64.280345
spanke_benes_14x14,spanke_benes,14,10,10,1.000000,0,16.814106,3-13-2-9-6-8-1-4-0-5-10-11-12-7,15.365426,0.886293,94.454698,94.454698
spanke_benes_15x15,spanke_benes,15,10,9,0.900000,0,18.031361,6-0-4-11-14-3-1-2-8-9-12-10-7-13-5,16.861545,0.697074,120.962970,119.376690
spanke_benes_16x16,spanke_benes,16,10,8,0.800000,0,20.449086,3-8-0-7-4-13-2-1-14-5-12-15-6-10-11-9,18.338862,0.928873,182.579893,179.315578
spanke_benes_3x3,spanke_benes,3,6,6,1.000000,0,2.537394,0-1-2,2.022590,0.288160,0.119248,0.119248
spanke_benes_4x4,spanke_benes,4,24,24,1.000000,0,4.019575,0-1-3-2,3.196901,0.439260,0.676168,0.676168
spanke_benes_5x5,spanke_benes,5,120,120,1.000000,0,5.477755,0-1-2-3-4,4.367692,0.527603,1.705223,1.705223
spanke_benes_6x6,spanke_benes,6,10,10,1.000000,0,7.143935,0-1-2-4-3-5,5.450535,0.756106,3.411594,3.411594
spanke_benes_7x7,spanke_benes,7,10,10,1.000000,0,7.795066,0-3-1-4-2-6-5,6.867238,0.709750,6.702921,6.702921
spanke_benes_8x8,spanke_benes,8,10,10,1.000000,0,10.100296,0-1-2-7-3-6-5-4,8.003628,0.765624,10.495935,10.495935
spanke_benes_9x9,spanke_benes,9,10,10,1.000000,0,10.711427,1-2-7-4-6-8-3-5-0,9.334896,0.828763,16.595027,16.595027
spanke_benes_rect_10x10,spanke_benes_rect,10,10,10,1.000000,0,7.773025,6-0-4-7-5-3-1-2-8-9,7.487466,0.193997,19.775807,19.775807
spanke_benes_rect_11x11,spanke_benes_rect,11,10,10,1.000000,0,8.426156,3-8-0-7-4-6-2-1-9-5-10,8.082227,0.148734,26.623118,26.623118
spanke_benes_rect_12x12,spanke_benes_rect,12,10,10,1.000000,0,9.194820,8-7-1-10-5-6-11-9-3-0-2-4,8.827769,0.251744,36.321713,36.321713
spanke_benes_rect_13x13,spanke_benes_rect,13,10,10,1.000000,0,10.237753,9-4-8-1-7-3-2-5-10-6-11-0-12,9.626673,0.289432,49.137078,49.137078
spanke_benes_rect_14x14,spanke_benes_rect,14,10,10,1.000000,0,10.678884,3-13-2-9-6-8-1-4-0-5-10-11-12-7,10.336199,0.235479,72.911783,72.911783
spanke_benes_rect_15x15,spanke_benes_rect,15,10,10,1.000000,0,11.452723,9-1-10-6-8-5-13-0-11-4-2-12-3-14-7,11.026544,0.253210,94.895190,94.895190
spanke_benes_rect_16x16,spanke_benes_rect,16,10,10,1.000000,0,12.355139,6-12-11-10-3-2-0-13-5-9-8-15-14-7-4-1,11.880048,0.250195,137.618490,137.618490
spanke_benes_rect_3x3,spanke_benes_rect,3,6,6,1.000000,0,2.537394,0-1-2,2.022590,0.288160,0.118939,0.118939
