topology,n_logical,n_physical,n_stages,n_mrr,stage_pitch_um,wire_pitch_um,estimated_layout_width_um,estimated_layout_height_um,estimated_layout_area_um2,grid_pitch_um,grid_margin_tracks,grid_margin_um,route_window_max_detour_tracks,effective_route_window_slack_um,local_repair_max_shift_tracks,max_astar_pops,ripup_max_astar_pops,max_ripup_passes,early_stop_enabled,early_stop_stagnant_passes,loss_aware_cost,prop_loss_db_per_um,bend_loss_db_per_bend,crossing_loss_db_per_cross,repeated_crossing_loss_db,port_escape_um,mrr_keepout_um,min_spacing_um,x_start_um,x_end_margin_um
padded_benes_16x16,9,16,7,56,105.000,36.000,658.000,562.000,369796.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
padded_benes_16x16,10,16,7,56,105.000,36.000,658.000,562.000,369796.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
padded_benes_16x16,11,16,7,56,105.000,36.000,658.000,562.000,369796.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
padded_benes_16x16,12,16,7,56,105.000,36.000,658.000,562.000,369796.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
padded_benes_16x16,13,16,7,56,105.000,36.000,658.000,562.000,369796.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
padded_benes_16x16,14,16,7,56,105.000,36.000,658.000,562.000,369796.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
padded_benes_16x16,15,16,7,56,105.000,36.000,658.000,562.000,369796.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
padded_benes_16x16,16,16,7,56,105.000,36.000,658.000,562.000,369796.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
padded_benes_4x4,3,4,3,6,105.000,36.000,238.000,130.000,30940.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
padded_benes_4x4,4,4,3,6,105.000,36.000,238.000,130.000,30940.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
padded_benes_8x8,5,8,5,20,105.000,36.000,448.000,274.000,122752.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
padded_benes_8x8,6,8,5,20,105.000,36.000,448.000,274.000,122752.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
padded_benes_8x8,7,8,5,20,105.000,36.000,448.000,274.000,122752.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
padded_benes_8x8,8,8,5,20,105.000,36.000,448.000,274.000,122752.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_10x10,10,10,17,45,105.000,36.000,1708.000,346.000,590968.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_11x11,11,11,19,55,105.000,36.000,1918.000,382.000,732676.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_12x12,12,12,21,66,105.000,36.000,2128.000,418.000,889504.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_13x13,13,13,23,78,105.000,36.000,2338.000,454.000,1061452.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_14x14,14,14,25,91,105.000,36.000,2548.000,490.000,1248520.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_15x15,15,15,27,105,105.000,36.000,2758.000,526.000,1450708.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_16x16,16,16,29,120,105.000,36.000,2968.000,562.000,1668016.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_3x3,3,3,3,3,105.000,36.000,238.000,94.000,22372.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_4x4,4,4,5,6,105.000,36.000,448.000,130.000,58240.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_5x5,5,5,7,10,105.000,36.000,658.000,166.000,109228.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_6x6,6,6,9,15,105.000,36.000,868.000,202.000,175336.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_7x7,7,7,11,21,105.000,36.000,1078.000,238.000,256564.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_8x8,8,8,13,28,105.000,36.000,1288.000,274.000,352912.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_9x9,9,9,15,36,105.000,36.000,1498.000,310.000,464380.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_rect_10x10,10,10,10,45,105.000,36.000,973.000,346.000,336658.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_rect_11x11,11,11,11,55,105.000,36.000,1078.000,382.000,411796.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_rect_12x12,12,12,12,66,105.000,36.000,1183.000,418.000,494494.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_rect_13x13,13,13,13,78,105.000,36.000,1288.000,454.000,584752.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_rect_14x14,14,14,14,91,105.000,36.000,1393.000,490.000,682570.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_rect_15x15,15,15,15,105,105.000,36.000,1498.000,526.000,787948.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_rect_16x16,16,16,16,120,105.000,36.000,1603.000,562.000,900886.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_rect_3x3,3,3,3,3,105.000,36.000,238.000,94.000,22372.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_rect_4x4,4,4,4,6,105.000,36.000,343.000,130.000,44590.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_rect_5x5,5,5,5,10,105.000,36.000,448.000,166.000,74368.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_rect_6x6,6,6,6,15,105.000,36.000,553.000,202.000,111706.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
spanke_benes_rect_7x7,7,7,7,21,105.000,36.000,658.000,238.000,156604.000,8.000,12.000,96.000,4,37.000,8,8000,4000,3,True,2,False,0.002000,0.005000,0.100000,0.000000,10.000,6.000,4.000,20.000,70.000
