topology,n_logical,layout,perm_idx,seed,permutation,rule,net_id,message,x_um,y_um
padded_benes_8x8,5,default,78,42,4-0-3-1-2,touching_corner,I2/I4,waveguides touch at an endpoint or T-junction; only true crossings are allowed,575.000000,180.000000
padded_benes_8x8,5,default,101,42,4-1-3-0-2,touching_corner,I2/I4,waveguides touch at an endpoint or T-junction; only true crossings are allowed,575.000000,180.000000
padded_benes_8x8,7,default,3,42,2-5-0-3-6-1-4,touching_corner,I0/I3,waveguides touch at an endpoint or T-junction; only true crossings are allowed,575.000000,180.000000
padded_benes_16x16,9,default,8,42,0-7-8-1-2-5-3-4-6,touching_corner,I1/I8,waveguides touch at an endpoint or T-junction; only true crossings are allowed,785.000000,324.000000
padded_benes_16x16,9,default,9,42,8-7-2-1-0-6-5-4-3,touching_corner,I1/I5,waveguides touch at an endpoint or T-junction; only true crossings are allowed,785.000000,324.000000
waksman_9x9,9,default,8,42,0-7-8-1-2-5-3-4-6,touching_corner,I5/I7,waveguides touch at an endpoint or T-junction; only true crossings are allowed,785.000000,144.000000
waksman_10x10,10,default,1,42,3-5-2-4-1-8-7-0-6-9,touching_corner,I1/I3,waveguides touch at an endpoint or T-junction; only true crossings are allowed,785.000000,180.000000
waksman_11x11,11,default,3,42,10-7-1-9-0-8-6-3-2-4-5,touching_corner,I7/I8,waveguides touch at an endpoint or T-junction; only true crossings are allowed,785.000000,288.000000
waksman_11x11,11,default,8,42,9-2-10-7-1-0-6-5-3-8-4,touching_corner,I7/I10,waveguides touch at an endpoint or T-junction; only true crossings are allowed,785.000000,216.000000
padded_benes_16x16,12,default,2,42,8-10-5-2-11-1-6-0-4-9-7-3,touching_corner,I11/I3,waveguides touch at an endpoint or T-junction; only true crossings are allowed,785.000000,468.000000
padded_benes_16x16,12,default,5,42,7-2-5-8-6-10-9-4-3-0-1-11,touching_corner,I11/I5,waveguides touch at an endpoint or T-junction; only true crossings are allowed,785.000000,180.000000
padded_benes_16x16,13,default,3,42,2-12-11-7-8-3-9-0-4-10-5-1-6,touching_corner,I5/I0,waveguides touch at an endpoint or T-junction; only true crossings are allowed,785.000000,468.000000
padded_benes_16x16,13,default,8,42,0-4-12-9-5-1-8-2-11-6-7-10-3,touching_corner,I3/I6,waveguides touch at an endpoint or T-junction; only true crossings are allowed,785.000000,252.000000
waksman_13x13,13,default,6,42,6-0-4-8-5-7-9-3-2-1-12-10-11,touching_corner,I5/I0,waveguides touch at an endpoint or T-junction; only true crossings are allowed,785.000000,216.000000
padded_benes_16x16,14,default,3,42,6-13-2-11-3-8-10-7-0-4-9-12-5-1,touching_corner,I10/I5,waveguides touch at an endpoint or T-junction; only true crossings are allowed,785.000000,252.000000
waksman_16x16,16,default,0,42,7-9-5-6-14-10-12-8-1-2-13-15-4-11-0-3,touching_corner,I1/I7,waveguides touch at an endpoint or T-junction; only true crossings are allowed,785.000000,252.000000
waksman_16x16,16,default,5,42,9-14-11-13-1-0-12-5-3-8-10-4-6-15-2-7,touching_corner,I3/I6,waveguides touch at an endpoint or T-junction; only true crossings are allowed,785.000000,108.000000
waksman_16x16,16,default,8,42,13-3-15-0-8-2-4-7-11-14-1-9-6-10-12-5,touching_corner,I1/I5,waveguides touch at an endpoint or T-junction; only true crossings are allowed,785.000000,468.000000
