topology,topology_family,n_logical,attempts,fully_routed_attempts,fully_routed_rate,drc_violation_attempts,worst_il_db,worst_il_permutation,routed_worst_il_mean_db,routed_worst_il_std_db,runtime_s_avg_all_attempts,runtime_s_avg_routed
padded_benes_16x16,padded_benes,9,10,0,0.000000,0,,,,,587.468681,
padded_benes_16x16,padded_benes,10,10,0,0.000000,0,,,,,657.411360,
padded_benes_16x16,padded_benes,11,10,0,0.000000,0,,,,,824.550223,
padded_benes_16x16,padded_benes,12,10,0,0.000000,0,,,,,1038.640898,
padded_benes_16x16,padded_benes,13,10,0,0.000000,0,,,,,1277.856172,
padded_benes_16x16,padded_benes,14,10,0,0.000000,0,,,,,1482.019786,
padded_benes_16x16,padded_benes,15,10,0,0.000000,0,,,,,1468.332819,
padded_benes_16x16,padded_benes,16,10,0,0.000000,0,,,,,1929.248347,
padded_benes_4x4,padded_benes,3,6,6,1.000000,0,2.609394,0-1-2,2.411789,0.135777,0.472868,0.472868
padded_benes_4x4,padded_benes,4,24,24,1.000000,0,4.139058,2-1-0-3,3.228722,0.459381,1.092349,1.092349
padded_benes_8x8,padded_benes,5,120,106,0.883333,2,7.019651,1-0-3-2-4,5.474769,0.628960,13.104436,8.493513
padded_benes_8x8,padded_benes,6,10,7,0.700000,0,7.135403,1-3-2-0-5-4,6.176199,0.590518,28.693418,27.416701
padded_benes_8x8,padded_benes,7,10,7,0.700000,1,7.332359,1-0-3-5-6-2-4,6.518818,0.654198,99.312739,49.053361
padded_benes_8x8,padded_benes,8,10,1,0.100000,0,7.732152,3-5-2-4-1-6-7-0,7.732152,0.000000,154.382203,158.209704
spanke_benes_10x10,spanke_benes,10,10,9,0.900000,0,11.767974,0-3-9-6-8-2-1-5-7-4,10.444175,0.694216,50.612273,23.091896
spanke_benes_11x11,spanke_benes,11,10,9,0.900000,0,13.276738,0-6-2-10-8-7-9-5-3-1-4,12.066238,0.695458,44.534722,37.707704
spanke_benes_12x12,spanke_benes,12,10,7,0.700000,0,14.526919,0-10-11-1-4-5-9-6-7-2-3-8,13.273736,1.001420,132.091527,60.461388
spanke_benes_13x13,spanke_benes,13,10,8,0.800000,0,15.386050,0-4-12-9-5-1-8-2-11-6-7-10-3,14.373310,0.949634,86.794683,78.144003
spanke_benes_14x14,spanke_benes,14,10,7,0.700000,0,18.705378,0-1-11-8-13-9-5-3-12-4-2-7-10-6,16.092017,1.614402,343.700927,131.657298
spanke_benes_15x15,spanke_benes,15,10,10,1.000000,0,19.670704,7-2-0-3-14-12-1-5-10-6-9-4-13-8-11,17.271005,1.337169,148.615313,148.615313
spanke_benes_16x16,spanke_benes,16,10,8,0.800000,0,19.740591,4-15-0-2-14-12-10-6-7-13-5-11-9-3-1-8,18.479602,1.051019,357.287096,206.831574
spanke_benes_3x3,spanke_benes,3,6,6,1.000000,0,2.537394,0-1-2,2.022590,0.288160,0.174513,0.174513
spanke_benes_4x4,spanke_benes,4,24,24,1.000000,0,4.019575,0-1-3-2,3.196901,0.439260,0.660024,0.660024
spanke_benes_5x5,spanke_benes,5,120,120,1.000000,0,5.477755,0-1-2-4-3,4.362470,0.525862,1.573306,1.573306
spanke_benes_6x6,spanke_benes,6,10,10,1.000000,0,6.288886,1-2-3-4-5-0,5.841427,0.244045,10.685968,10.685968
spanke_benes_7x7,spanke_benes,7,10,10,1.000000,0,8.100741,1-0-3-5-6-2-4,6.787586,0.560688,6.226655,6.226655
spanke_benes_8x8,spanke_benes,8,10,8,0.800000,0,9.213996,2-1-0-7-4-6-5-3,7.913646,0.888876,77.366794,50.803575
spanke_benes_9x9,spanke_benes,9,10,10,1.000000,0,11.041101,1-0-3-2-7-5-6-4-8,9.281301,0.895614,14.223988,14.223988
spanke_benes_rect_10x10,spanke_benes_rect,10,10,10,1.000000,0,7.574303,7-8-3-0-2-9-1-4-5-6,7.364095,0.148224,19.972704,19.972704
spanke_benes_rect_11x11,spanke_benes_rect,11,10,10,1.000000,0,8.566864,5-1-9-0-2-4-7-3-6-8-10,8.164846,0.212489,29.703119,29.703119
spanke_benes_rect_12x12,spanke_benes_rect,12,10,10,1.000000,0,9.177981,8-10-5-2-11-1-6-0-4-9-7-3,8.869935,0.187764,55.042131,55.042131
spanke_benes_rect_13x13,spanke_benes_rect,13,10,10,1.000000,0,10.135416,6-0-4-8-5-7-9-3-2-1-12-10-11,9.610549,0.279259,53.919802,53.919802
spanke_benes_rect_14x14,spanke_benes_rect,14,10,10,1.000000,0,11.143132,10-4-8-7-1-9-2-6-5-11-3-0-12-13,10.437448,0.368715,97.094573,97.094573
spanke_benes_rect_15x15,spanke_benes_rect,15,10,10,1.000000,0,11.259547,8-0-5-11-7-4-3-9-14-6-12-10-2-1-13,10.984749,0.189570,90.519699,90.519699
spanke_benes_rect_16x16,spanke_benes_rect,16,10,9,0.900000,0,12.043510,10-3-11-0-12-14-8-9-2-5-15-4-6-1-13-7,11.824469,0.160701,231.597763,163.447012
spanke_benes_rect_3x3,spanke_benes_rect,3,6,6,1.000000,0,2.537394,0-1-2,2.022590,0.288160,0.176514,0.176514
spanke_benes_rect_4x4,spanke_benes_rect,4,24,24,1.000000,0,3.507941,0-1-3-2,3.056289,0.366750,0.613448,0.613448
spanke_benes_rect_5x5,spanke_benes_rect,5,120,120,1.000000,0,4.362736,1-3-0-2-4,3.829268,0.339854,1.219293,1.219293
spanke_benes_rect_6x6,spanke_benes_rect,6,10,10,1.000000,0,5.046122,1-2-3-4-5-0,4.779713,0.234024,2.775975,2.775975
spanke_benes_rect_7x7,spanke_benes_rect,7,10,10,1.000000,0,5.668669,1-0-3-5-6-2-4,5.328238,0.230034,4.607487,4.607487
spanke_benes_rect_8x8,spanke_benes_rect,8,10,10,1.000000,0,6.476302,3-5-2-4-1-6-7-0,5.890392,0.228830,11.545708,11.545708
spanke_benes_rect_9x9,spanke_benes_rect,9,10,10,1.000000,0,7.339138,0-7-8-1-2-5-3-4-6,6.634943,0.310760,11.726213,11.726213
waksman_10x10,waksman,10,10,2,0.200000,0,10.073816,7-3-2-8-5-6-9-4-0-1,8.943154,1.130662,190.286666,88.889656
waksman_11x11,waksman,11,10,1,0.100000,0,7.862984,0-7-8-9-2-5-10-4-6-1-3,7.862984,0.000000,740.165629,100.709915
waksman_12x12,waksman,12,10,0,0.000000,0,,,,,852.919032,
waksman_13x13,waksman,13,10,0,0.000000,0,,,,,1319.203920,
waksman_14x14,waksman,14,10,0,0.000000,0,,,,,1489.000449,
waksman_15x15,waksman,15,10,0,0.000000,0,,,,,1739.898008,
waksman_16x16,waksman,16,10,0,0.000000,0,,,,,1580.295253,
waksman_3x3,waksman,3,6,6,1.000000,0,2.317177,1-0-2,2.064067,0.189006,0.136397,0.136397
waksman_4x4,waksman,4,24,24,1.000000,0,3.623807,1-0-2-3,2.759359,0.295308,1.162813,1.162813
waksman_5x5,waksman,5,120,89,0.741667,0,4.950271,4-0-2-1-3,4.064836,0.311619,11.102646,7.816894
waksman_6x6,waksman,6,10,5,0.500000,0,5.864313,1-2-3-4-5-0,5.090531,0.527683,58.979482,65.013562
waksman_7x7,waksman,7,10,4,0.400000,0,6.914437,1-3-4-2-6-0-5,5.537964,0.836115,96.224429,50.609617
waksman_8x8,waksman,8,10,4,0.400000,0,6.757320,3-7-2-0-4-6-5-1,6.540110,0.209586,77.476488,20.876904
waksman_9x9,waksman,9,10,1,0.100000,1,8.087743,8-7-5-2-3-1-6-0-4,8.087743,0.000000,256.757900,37.642222
