mrr_id,state,meaning
padded_benes_8x8_s0_w0_1,0,through/bar
padded_benes_8x8_s0_w2_3,1,drop/cross
padded_benes_8x8_s0_w4_5,1,drop/cross
padded_benes_8x8_s0_w6_7,0,through/bar
padded_benes_8x8_s1_w0_2,0,through/bar
padded_benes_8x8_s1_w1_3,0,through/bar
padded_benes_8x8_s1_w4_6,0,through/bar
padded_benes_8x8_s1_w5_7,1,drop/cross
padded_benes_8x8_s2_w0_4,0,through/bar
padded_benes_8x8_s2_w1_5,0,through/bar
padded_benes_8x8_s2_w2_6,0,through/bar
padded_benes_8x8_s2_w3_7,1,drop/cross
padded_benes_8x8_s3_w0_2,1,drop/cross
padded_benes_8x8_s3_w1_3,0,through/bar
padded_benes_8x8_s3_w4_6,0,through/bar
padded_benes_8x8_s3_w5_7,1,drop/cross
padded_benes_8x8_s4_w0_1,1,drop/cross
padded_benes_8x8_s4_w2_3,0,through/bar
padded_benes_8x8_s4_w4_5,0,through/bar
padded_benes_8x8_s4_w6_7,0,through/bar
