wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1541.0000,1.945441e+14,B,A,0.99363550,0.07754402,0.99064960,0.07697329
1541.0500,1.945378e+14,B,A,0.99374884,0.07608009,0.99087423,0.07553159
1541.1000,1.945315e+14,B,A,0.99385809,0.07464200,0.99109077,0.07411469
1541.1500,1.945252e+14,B,A,0.99396341,0.07322882,0.99129955,0.07272173
1541.2000,1.945189e+14,B,A,0.99406498,0.07183966,0.99150093,0.07135188
1541.2500,1.945125e+14,B,A,0.99416296,0.07047367,0.99169521,0.07000433
1541.3000,1.945062e+14,B,A,0.99425751,0.06913004,0.99188270,0.06867833
1541.3500,1.944999e+14,B,A,0.99434877,0.06780800,0.99206367,0.06737314
1541.4000,1.944936e+14,B,A,0.99443686,0.06650679,0.99223840,0.06608805
1541.4500,1.944873e+14,B,A,0.99452194,0.06522569,0.99240714,0.06482239
1541.5000,1.944810e+14,B,A,0.99460410,0.06396403,0.99257014,0.06357551
1541.5500,1.944747e+14,B,A,0.99468348,0.06272113,0.99272761,0.06234678
1541.6000,1.944684e+14,B,A,0.99476018,0.06149638,0.99287978,0.06113560
1541.6500,1.944621e+14,B,A,0.99483430,0.06028915,0.99302684,0.05994139
1541.7000,1.944558e+14,B,A,0.99490594,0.05909887,0.99316901,0.05876359
1541.7500,1.944495e+14,B,A,0.99497520,0.05792496,0.99330645,0.05760168
1541.8000,1.944432e+14,B,A,0.99504217,0.05676690,0.99343935,0.05645512
1541.8500,1.944369e+14,B,A,0.99510692,0.05562414,0.99356787,0.05532343
1541.9000,1.944305e+14,B,A,0.99516955,0.05449620,0.99369217,0.05420612
1541.9500,1.944242e+14,B,A,0.99523012,0.05338259,0.99381241,0.05310273
1542.0000,1.944179e+14,B,A,0.99528872,0.05228284,0.99392872,0.05201282
1542.0500,1.944116e+14,B,A,0.99534540,0.05119650,0.99404125,0.05093594
1542.1000,1.944053e+14,B,A,0.99540024,0.05012313,0.99415011,0.04987168
1542.1500,1.943990e+14,B,A,0.99545329,0.04906231,0.99425545,0.04881964
1542.2000,1.943927e+14,B,A,0.99550463,0.04801364,0.99435738,0.04777943
1542.2500,1.943864e+14,B,A,0.99555430,0.04697672,0.99445600,0.04675067
1542.3000,1.943801e+14,B,A,0.99560235,0.04595117,0.99455143,0.04573300
1542.3500,1.943738e+14,B,A,0.99564885,0.04493664,0.99464377,0.04472605
1542.4000,1.943675e+14,B,A,0.99569384,0.04393275,0.99473311,0.04372950
1542.4500,1.943612e+14,B,A,0.99573737,0.04293917,0.99481956,0.04274299
1542.5000,1.943549e+14,B,A,0.99577948,0.04195555,0.99490319,0.04176622
1542.5500,1.943486e+14,B,A,0.99582022,0.04098159,0.99498410,0.04079888
1542.6000,1.943423e+14,B,A,0.99585962,0.04001696,0.99506237,0.03984064
1542.6500,1.943360e+14,B,A,0.99589773,0.03906136,0.99513806,0.03889123
1542.7000,1.943297e+14,B,A,0.99593459,0.03811450,0.99521127,0.03795036
1542.7500,1.943234e+14,B,A,0.99597022,0.03717608,0.99528205,0.03701774
1542.8000,1.943171e+14,B,A,0.99600467,0.03624583,0.99535048,0.03609311
1542.8500,1.943108e+14,B,A,0.99603796,0.03532347,0.99541662,0.03517620
1542.9000,1.943045e+14,B,A,0.99607013,0.03440874,0.99548053,0.03426676
1542.9500,1.942982e+14,B,A,0.99610121,0.03350139,0.99554228,0.03336454
1543.0000,1.942919e+14,B,A,0.99613122,0.03260117,0.99560191,0.03246929
1543.0500,1.942856e+14,B,A,0.99616020,0.03170782,0.99565948,0.03158078
1543.1000,1.942793e+14,B,A,0.99618816,0.03082112,0.99571504,0.03069877
1543.1500,1.942731e+14,B,A,0.99621514,0.02994083,0.99576864,0.02982305
1543.2000,1.942668e+14,B,A,0.99624115,0.02906672,0.99582033,0.02895338
1543.2500,1.942605e+14,B,A,0.99626623,0.02819858,0.99587016,0.02808957
1543.3000,1.942542e+14,B,A,0.99629039,0.02733618,0.99591816,0.02723139
1543.3500,1.942479e+14,B,A,0.99631364,0.02647933,0.99596438,0.02637863
1543.4000,1.942416e+14,B,A,0.99633602,0.02562781,0.99600885,0.02553111
1543.4500,1.942353e+14,B,A,0.99635754,0.02478141,0.99605162,0.02468862
1543.5000,1.942290e+14,B,A,0.99637822,0.02393996,0.99609271,0.02385097
1543.5500,1.942227e+14,B,A,0.99639808,0.02310324,0.99613217,0.02301797
1543.6000,1.942164e+14,B,A,0.99641712,0.02227107,0.99617002,0.02218944
1543.6500,1.942101e+14,B,A,0.99643538,0.02144327,0.99620630,0.02136520
1543.7000,1.942038e+14,B,A,0.99645285,0.02061965,0.99624103,0.02054506
1543.7500,1.941975e+14,B,A,0.99646956,0.01980004,0.99627424,0.01972885
1543.8000,1.941913e+14,B,A,0.99648552,0.01898426,0.99630596,0.01891640
1543.8500,1.941850e+14,B,A,0.99650074,0.01817213,0.99633621,0.01810755
1543.9000,1.941787e+14,B,A,0.99651524,0.01736349,0.99636502,0.01730211
1543.9500,1.941724e+14,B,A,0.99652902,0.01655817,0.99639241,0.01649994
1544.0000,1.941661e+14,B,A,0.99654209,0.01575601,0.99641840,0.01570087
1544.0500,1.941598e+14,B,A,0.99655447,0.01495684,0.99644301,0.01490475
1544.1000,1.941535e+14,B,A,0.99656617,0.01416050,0.99646626,0.01411140
1544.1500,1.941472e+14,B,A,0.99657719,0.01336684,0.99648816,0.01332069
1544.2000,1.941410e+14,B,A,0.99658754,0.01257570,0.99650874,0.01253245
1544.2500,1.941347e+14,B,A,0.99659724,0.01178692,0.99652801,0.01174654
1544.3000,1.941284e+14,B,A,0.99660628,0.01100037,0.99654598,0.01096281
1544.3500,1.941221e+14,B,A,0.99661467,0.01021587,0.99656267,0.01018111
1544.4000,1.941158e+14,B,A,0.99662243,0.00943330,0.99657809,0.00940130
1544.4500,1.941095e+14,B,A,0.99662955,0.00865249,0.99659225,0.00862322
1544.5000,1.941032e+14,B,A,0.99663605,0.00787331,0.99660516,0.00784674
1544.5500,1.940970e+14,B,A,0.99664192,0.00709560,0.99661683,0.00707172
1544.6000,1.940907e+14,B,A,0.99664718,0.00631923,0.99662728,0.00629801
1544.6500,1.940844e+14,B,A,0.99665181,0.00554406,0.99663650,0.00552547
1544.7000,1.940781e+14,B,A,0.99665584,0.00476993,0.99664450,0.00475396
1544.7500,1.940718e+14,B,A,0.99665926,0.00399672,0.99665130,0.00398336
1544.8000,1.940655e+14,B,A,0.99666208,0.00322427,0.99665690,0.00321350
1544.8500,1.940593e+14,B,A,0.99666429,0.00245246,0.99666129,0.00244427
1544.9000,1.940530e+14,B,A,0.99666589,0.00168113,0.99666449,0.00167553
1544.9500,1.940467e+14,B,A,0.99666690,0.00091016,0.99666649,0.00090712
1545.0000,1.940404e+14,B,A,0.99666731,0.00013940,0.99666730,0.00013893
1545.0500,1.940341e+14,B,A,0.99666712,-0.00063129,0.99666692,-0.00062918
1545.1000,1.940279e+14,B,A,0.99666633,-0.00140203,0.99666535,-0.00139736
1545.1500,1.940216e+14,B,A,0.99666494,-0.00217299,0.99666258,-0.00216574
1545.2000,1.940153e+14,B,A,0.99666295,-0.00294428,0.99665863,-0.00293445
1545.2500,1.940090e+14,B,A,0.99666035,-0.00371604,0.99665347,-0.00370363
1545.3000,1.940028e+14,B,A,0.99665716,-0.00448843,0.99664712,-0.00447341
1545.3500,1.939965e+14,B,A,0.99665335,-0.00526158,0.99663956,-0.00524394
1545.4000,1.939902e+14,B,A,0.99664894,-0.00603562,0.99663079,-0.00601536
1545.4500,1.939839e+14,B,A,0.99664392,-0.00681070,0.99662081,-0.00678779
1545.5000,1.939776e+14,B,A,0.99663828,-0.00758696,0.99660960,-0.00756138
1545.5500,1.939714e+14,B,A,0.99663203,-0.00836454,0.99659716,-0.00833627
1545.6000,1.939651e+14,B,A,0.99662515,-0.00914359,0.99658348,-0.00911260
1545.6500,1.939588e+14,B,A,0.99661764,-0.00992425,0.99656856,-0.00989052
1545.7000,1.939526e+14,B,A,0.99660949,-0.01070666,0.99655237,-0.01067015
1545.7500,1.939463e+14,B,A,0.99660071,-0.01149097,0.99653492,-0.01145165
1545.8000,1.939400e+14,B,A,0.99659128,-0.01227733,0.99651618,-0.01223517
1545.8500,1.939337e+14,B,A,0.99658120,-0.01306589,0.99649614,-0.01302085
1545.9000,1.939275e+14,B,A,0.99657046,-0.01385679,0.99647479,-0.01380883
1545.9500,1.939212e+14,B,A,0.99655905,-0.01465020,0.99645211,-0.01459927
1546.0000,1.939149e+14,B,A,0.99654697,-0.01544627,0.99642809,-0.01539232
1546.0500,1.939086e+14,B,A,0.99653420,-0.01624515,0.99640270,-0.01618814
1546.1000,1.939024e+14,B,A,0.99652073,-0.01704700,0.99637594,-0.01698687
1546.1500,1.938961e+14,B,A,0.99650656,-0.01785199,0.99634777,-0.01778868
1546.2000,1.938898e+14,B,A,0.99649167,-0.01866027,0.99631819,-0.01859372
1546.2500,1.938836e+14,B,A,0.99647606,-0.01947201,0.99628715,-0.01940217
1546.3000,1.938773e+14,B,A,0.99645971,-0.02028738,0.99625465,-0.02021417
1546.3500,1.938710e+14,B,A,0.99644260,-0.02110656,0.99622066,-0.02102991
1546.4000,1.938648e+14,B,A,0.99642473,-0.02192971,0.99618515,-0.02184955
1546.4500,1.938585e+14,B,A,0.99640609,-0.02275701,0.99614809,-0.02267327
1546.5000,1.938522e+14,B,A,0.99638665,-0.02358865,0.99610945,-0.02350123
1546.5500,1.938460e+14,B,A,0.99636640,-0.02442480,0.99606921,-0.02433363
1546.6000,1.938397e+14,B,A,0.99634532,-0.02526566,0.99602733,-0.02517064
1546.6500,1.938334e+14,B,A,0.99632340,-0.02611141,0.99598377,-0.02601246
1546.7000,1.938272e+14,B,A,0.99630063,-0.02696226,0.99593851,-0.02685926
1546.7500,1.938209e+14,B,A,0.99627697,-0.02781839,0.99589151,-0.02771125
1546.8000,1.938146e+14,B,A,0.99625242,-0.02868002,0.99584271,-0.02856862
1546.8500,1.938084e+14,B,A,0.99622695,-0.02954735,0.99579210,-0.02943159
1546.9000,1.938021e+14,B,A,0.99620053,-0.03042060,0.99573962,-0.03030034
1546.9500,1.937958e+14,B,A,0.99617316,-0.03129998,0.99568523,-0.03117511
1547.0000,1.937896e+14,B,A,0.99614480,-0.03218572,0.99562888,-0.03205610
1547.0500,1.937833e+14,B,A,0.99611542,-0.03307804,0.99557052,-0.03294354
1547.1000,1.937770e+14,B,A,0.99608502,-0.03397718,0.99551011,-0.03383765
1547.1500,1.937708e+14,B,A,0.99605354,-0.03488338,0.99544758,-0.03473867
1547.2000,1.937645e+14,B,A,0.99602098,-0.03579689,0.99538289,-0.03564684
1547.2500,1.937583e+14,B,A,0.99598729,-0.03671796,0.99531597,-0.03656241
1547.3000,1.937520e+14,B,A,0.99595246,-0.03764685,0.99524676,-0.03748562
1547.3500,1.937457e+14,B,A,0.99591643,-0.03858383,0.99517521,-0.03841674
1547.4000,1.937395e+14,B,A,0.99587919,-0.03952917,0.99510124,-0.03935603
1547.4500,1.937332e+14,B,A,0.99584070,-0.04048316,0.99502477,-0.04030377
1547.5000,1.937270e+14,B,A,0.99580091,-0.04144609,0.99494575,-0.04126023
1547.5500,1.937207e+14,B,A,0.99575980,-0.04241825,0.99486409,-0.04222572
1547.6000,1.937144e+14,B,A,0.99571731,-0.04339995,0.99477971,-0.04320052
1547.6500,1.937082e+14,B,A,0.99567341,-0.04439152,0.99469253,-0.04418495
1547.7000,1.937019e+14,B,A,0.99562805,-0.04539329,0.99460246,-0.04517931
1547.7500,1.936957e+14,B,A,0.99558119,-0.04640558,0.99450940,-0.04618394
1547.8000,1.936894e+14,B,A,0.99553278,-0.04742875,0.99441327,-0.04719918
1547.8500,1.936831e+14,B,A,0.99548276,-0.04846316,0.99431395,-0.04822536
1547.9000,1.936769e+14,B,A,0.99543108,-0.04950919,0.99421135,-0.04926286
1547.9500,1.936706e+14,B,A,0.99537769,-0.05056721,0.99410535,-0.05031203
1548.0000,1.936644e+14,B,A,0.99532253,-0.05163763,0.99399584,-0.05137326
1548.0500,1.936581e+14,B,A,0.99526553,-0.05272086,0.99388268,-0.05244695
1548.1000,1.936519e+14,B,A,0.99520663,-0.05381732,0.99376576,-0.05353351
1548.1500,1.936456e+14,B,A,0.99514576,-0.05492746,0.99364494,-0.05463335
1548.2000,1.936394e+14,B,A,0.99508285,-0.05605174,0.99352008,-0.05574692
1548.2500,1.936331e+14,B,A,0.99501782,-0.05719062,0.99339103,-0.05687467
1548.3000,1.936269e+14,B,A,0.99495060,-0.05834460,0.99325763,-0.05801706
1548.3500,1.936206e+14,B,A,0.99488111,-0.05951419,0.99311972,-0.05917459
1548.4000,1.936143e+14,B,A,0.99480924,-0.06069992,0.99297713,-0.06034776
1548.4500,1.936081e+14,B,A,0.99473492,-0.06190233,0.99282967,-0.06153710
1548.5000,1.936018e+14,B,A,0.99465805,-0.06312201,0.99267715,-0.06274313
1548.5500,1.935956e+14,B,A,0.99457852,-0.06435954,0.99251938,-0.06396644
1548.6000,1.935893e+14,B,A,0.99449622,-0.06561555,0.99235614,-0.06520760
1548.6500,1.935831e+14,B,A,0.99441105,-0.06689066,0.99218720,-0.06646722
1548.7000,1.935768e+14,B,A,0.99432288,-0.06818556,0.99201234,-0.06774594
1548.7500,1.935706e+14,B,A,0.99423159,-0.06950094,0.99183130,-0.06904441
1548.8000,1.935643e+14,B,A,0.99413705,-0.07083753,0.99164382,-0.07036333
1548.8500,1.935581e+14,B,A,0.99403910,-0.07219607,0.99144963,-0.07170339
1548.9000,1.935518e+14,B,A,0.99393762,-0.07357737,0.99124842,-0.07306535
1548.9500,1.935456e+14,B,A,0.99383243,-0.07498225,0.99103990,-0.07444998
1549.0000,1.935394e+14,B,A,0.99372337,-0.07641156,0.99082374,-0.07585809
1549.0500,1.935331e+14,B,A,0.99361027,-0.07786622,0.99059959,-0.07729051
1549.1000,1.935269e+14,B,A,0.99349294,-0.07934715,0.99036708,-0.07874814
1549.1500,1.935206e+14,B,A,0.99337118,-0.08085534,0.99012583,-0.08023188
1549.2000,1.935144e+14,B,A,0.99324479,-0.08239182,0.98987542,-0.08174269
1549.2500,1.935081e+14,B,A,0.99311354,-0.08395767,0.98961542,-0.08328158
1549.3000,1.935019e+14,B,A,0.99297719,-0.08555403,0.98934536,-0.08484960
1549.3500,1.934956e+14,B,A,0.99283550,-0.08718207,0.98906476,-0.08644784
1549.4000,1.934894e+14,B,A,0.99268820,-0.08884304,0.98877309,-0.08807746
1549.4500,1.934831e+14,B,A,0.99253500,-0.09053824,0.98846979,-0.08973965
1549.5000,1.934769e+14,B,A,0.99237560,-0.09226905,0.98815426,-0.09143569
1549.5500,1.934707e+14,B,A,0.99220969,-0.09403691,0.98782589,-0.09316688
1549.6000,1.934644e+14,B,A,0.99203691,-0.09584334,0.98748400,-0.09493463
1549.6500,1.934582e+14,B,A,0.99185690,-0.09768992,0.98712786,-0.09674038
1549.7000,1.934519e+14,B,A,0.99166928,-0.09957836,0.98675672,-0.09858568
1549.7500,1.934457e+14,B,A,0.99147361,-0.10151040,0.98636974,-0.10047213
1549.8000,1.934394e+14,B,A,0.99126945,-0.10348794,0.98596606,-0.10240143
1549.8500,1.934332e+14,B,A,0.99105633,-0.10551294,0.98554474,-0.10437535
1549.9000,1.934270e+14,B,A,0.99083373,-0.10758750,0.98510477,-0.10639579
1549.9500,1.934207e+14,B,A,0.99060109,-0.10971381,0.98464508,-0.10846471
1550.0000,1.934145e+14,B,A,0.99035782,-0.11189421,0.98416449,-0.11058421
1550.0500,1.934083e+14,B,A,0.99010329,-0.11413117,0.98366178,-0.11275648
1550.1000,1.934020e+14,B,A,0.98983681,-0.11642732,0.98313561,-0.11498387
1550.1500,1.933958e+14,B,A,0.98955763,-0.11878544,0.98258452,-0.11726881
1550.2000,1.933895e+14,B,A,0.98926497,-0.12120848,0.98200697,-0.11961392
1550.2500,1.933833e+14,B,A,0.98895795,-0.12369958,0.98140128,-0.12202194
1550.3000,1.933771e+14,B,A,0.98863565,-0.12626207,0.98076564,-0.12449578
1550.3500,1.933708e+14,B,A,0.98829705,-0.12889952,0.98009809,-0.12703854
1550.4000,1.933646e+14,B,A,0.98794107,-0.13161571,0.97939651,-0.12965348
1550.4500,1.933584e+14,B,A,0.98756652,-0.13441468,0.97865861,-0.13234408
1550.5000,1.933521e+14,B,A,0.98717210,-0.13730076,0.97788188,-0.13511403
1550.5500,1.933459e+14,B,A,0.98675643,-0.14027856,0.97706360,-0.13796724
1550.6000,1.933396e+14,B,A,0.98631796,-0.14335303,0.97620084,-0.14090790
1550.6500,1.933334e+14,B,A,0.98585503,-0.14652946,0.97529037,-0.14394042
1550.7000,1.933272e+14,B,A,0.98536583,-0.14981353,0.97432867,-0.14706955
1550.7500,1.933209e+14,B,A,0.98484834,-0.15321136,0.97331191,-0.15030032
1550.8000,1.933147e+14,B,A,0.98430040,-0.15672951,0.97223588,-0.15363811
1550.8500,1.933085e+14,B,A,0.98371960,-0.16037505,0.97109598,-0.15708866
1550.9000,1.933022e+14,B,A,0.98310330,-0.16415561,0.96988715,-0.16065810
1550.9500,1.932960e+14,B,A,0.98244859,-0.16807943,0.96860381,-0.16435299
1551.0000,1.932898e+14,B,A,0.98175227,-0.17215542,0.96723983,-0.16818035
1551.0500,1.932836e+14,B,A,0.98101079,-0.17639322,0.96578846,-0.17214768
1551.1000,1.932773e+14,B,A,0.98022021,-0.18080331,0.96424219,-0.17626305
1551.1500,1.932711e+14,B,A,0.97937617,-0.18539705,0.96259273,-0.18053506
