wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1548.5000,1.936018e+14,B,A,0.99382825,-0.07494791,0.99103830,-0.07441564
1548.5500,1.935956e+14,B,A,0.99370899,-0.07650865,0.99080203,-0.07595319
1548.6000,1.935893e+14,B,A,0.99358488,-0.07809967,0.99055621,-0.07751979
1548.6500,1.935831e+14,B,A,0.99345570,-0.07972219,0.99030035,-0.07911659
1548.7000,1.935768e+14,B,A,0.99332117,-0.08137750,0.99003395,-0.08074480
1548.7500,1.935706e+14,B,A,0.99318102,-0.08306696,0.98975646,-0.08240569
1548.8000,1.935643e+14,B,A,0.99303495,-0.08479201,0.98946729,-0.08410057
1548.8500,1.935581e+14,B,A,0.99288266,-0.08655414,0.98916583,-0.08583084
1548.9000,1.935518e+14,B,A,0.99272379,-0.08835495,0.98885141,-0.08759798
1548.9500,1.935456e+14,B,A,0.99255798,-0.09019609,0.98852333,-0.08940351
1549.0000,1.935394e+14,B,A,0.99238486,-0.09207934,0.98818081,-0.09124908
1549.0500,1.935331e+14,B,A,0.99220401,-0.09400657,0.98782306,-0.09313637
1549.1000,1.935269e+14,B,A,0.99201497,-0.09597972,0.98744920,-0.09506720
1549.1500,1.935206e+14,B,A,0.99181727,-0.09800089,0.98705829,-0.09704347
1549.2000,1.935144e+14,B,A,0.99161040,-0.10007229,0.98664932,-0.09906718
1549.2500,1.935081e+14,B,A,0.99139380,-0.10219623,0.98622121,-0.10114045
1549.3000,1.935019e+14,B,A,0.99116688,-0.10437521,0.98577280,-0.10326551
1549.3500,1.934956e+14,B,A,0.99092899,-0.10661184,0.98530284,-0.10544475
1549.4000,1.934894e+14,B,A,0.99067945,-0.10890892,0.98480995,-0.10768066
1549.4500,1.934831e+14,B,A,0.99041749,-0.11126940,0.98429270,-0.10997590
1549.5000,1.934769e+14,B,A,0.99014232,-0.11369646,0.98374948,-0.11233329
1549.5500,1.934707e+14,B,A,0.98985304,-0.11619346,0.98317859,-0.11475582
1549.6000,1.934644e+14,B,A,0.98954871,-0.11876397,0.98257818,-0.11724666
1549.6500,1.934582e+14,B,A,0.98922829,-0.12141184,0.98194622,-0.11980918
1549.7000,1.934519e+14,B,A,0.98889066,-0.12414116,0.98128053,-0.12244696
1549.7500,1.934457e+14,B,A,0.98853459,-0.12695631,0.98057873,-0.12516384
1549.8000,1.934394e+14,B,A,0.98815873,-0.12986197,0.97983822,-0.12796387
1549.8500,1.934332e+14,B,A,0.98776164,-0.13286319,0.97905616,-0.13085139
1549.9000,1.934270e+14,B,A,0.98734171,-0.13596537,0.97822947,-0.13383104
1549.9500,1.934207e+14,B,A,0.98689719,-0.13917431,0.97735476,-0.13690777
1550.0000,1.934145e+14,B,A,0.98642615,-0.14249628,0.97642830,-0.14008685
1550.0500,1.934083e+14,B,A,0.98592650,-0.14593802,0.97544603,-0.14337396
1550.1000,1.934020e+14,B,A,0.98539589,-0.14950679,0.97440346,-0.14677516
1550.1500,1.933958e+14,B,A,0.98483177,-0.15321049,0.97329566,-0.15029694
1550.2000,1.933895e+14,B,A,0.98423129,-0.15705762,0.97211716,-0.15394629
1550.2500,1.933833e+14,B,A,0.98359132,-0.16105742,0.97086195,-0.15773070
1550.3000,1.933771e+14,B,A,0.98290838,-0.16521993,0.96952334,-0.16165822
1550.3500,1.933708e+14,B,A,0.98217858,-0.16955606,0.96809392,-0.16573752
1550.4000,1.933646e+14,B,A,0.98139761,-0.17407772,0.96656545,-0.16997794
1550.4500,1.933584e+14,B,A,0.98056064,-0.17879788,0.96492874,-0.17438952
1550.5000,1.933521e+14,B,A,0.97966228,-0.18373076,0.96317351,-0.17898313
1550.5500,1.933459e+14,B,A,0.97869645,-0.18889193,0.96128828,-0.18377046
1550.6000,1.933396e+14,B,A,0.97765635,-0.19429846,0.95926014,-0.18876417
1550.6500,1.933334e+14,B,A,0.97653427,-0.19996919,0.95707458,-0.19397792
1550.7000,1.933272e+14,B,A,0.97532152,-0.20592483,0.95471522,-0.19942647
