model_id,channel_nm,radius_um,kappa1,kappa2,state_mode,lambda_res_nm,detune_nm,fsr_formula_nm,csv_path,s4p_path
mrr_r4.50_ch1545.0_on,1545.0,4.50,0.1500,0.1500,on_resonance,1545.000000,0.000000,20.328004,mrr_r4.50_ch1545.0_on.csv,
mrr_r4.50_ch1545.0_off,1545.0,4.50,0.1500,0.1500,off_half_fsr,1555.164002,10.164002,20.328004,mrr_r4.50_ch1545.0_off.csv,
mrr_r4.50_ch1547.5_on,1547.5,4.50,0.1500,0.1500,on_resonance,1547.500000,0.000000,20.328004,mrr_r4.50_ch1547.5_on.csv,
mrr_r4.50_ch1547.5_off,1547.5,4.50,0.1500,0.1500,off_half_fsr,1557.664002,10.164002,20.328004,mrr_r4.50_ch1547.5_off.csv,
mrr_r4.50_ch1550.0_on,1550.0,4.50,0.1500,0.1500,on_resonance,1550.000000,0.000000,20.328004,mrr_r4.50_ch1550.0_on.csv,
mrr_r4.50_ch1550.0_off,1550.0,4.50,0.1500,0.1500,off_half_fsr,1560.164002,10.164002,20.328004,mrr_r4.50_ch1550.0_off.csv,
mrr_r4.50_ch1552.5_on,1552.5,4.50,0.1500,0.1500,on_resonance,1552.500000,0.000000,20.328004,mrr_r4.50_ch1552.5_on.csv,
mrr_r4.50_ch1552.5_off,1552.5,4.50,0.1500,0.1500,off_half_fsr,1562.664002,10.164002,20.328004,mrr_r4.50_ch1552.5_off.csv,
mrr_r4.50_ch1555.0_on,1555.0,4.50,0.1500,0.1500,on_resonance,1555.000000,0.000000,20.328004,mrr_r4.50_ch1555.0_on.csv,
mrr_r4.50_ch1555.0_off,1555.0,4.50,0.1500,0.1500,off_half_fsr,1565.164002,10.164002,20.328004,mrr_r4.50_ch1555.0_off.csv,
mrr_r5.00_ch1545.0_on,1545.0,5.00,0.1500,0.1500,on_resonance,1545.000000,0.000000,18.295203,mrr_r5.00_ch1545.0_on.csv,
mrr_r5.00_ch1545.0_off,1545.0,5.00,0.1500,0.1500,off_half_fsr,1554.147602,9.147602,18.295203,mrr_r5.00_ch1545.0_off.csv,
mrr_r5.00_ch1547.5_on,1547.5,5.00,0.1500,0.1500,on_resonance,1547.500000,0.000000,18.295203,mrr_r5.00_ch1547.5_on.csv,
