edge_id,waveguide_owner_edge_id,kind,source_endpoint,source_wire,source_blocked,target_endpoint,target_wire,target_blocked,source_stage,target_stage
input:w0->padded_benes_16x16_s0_w0_1.in,input:w0->padded_benes_16x16_s0_w0_1.in,input,I0,0,False,padded_benes_16x16_s0_w0_1.in,0,False,,0
input:w1->padded_benes_16x16_s0_w0_1.add,input:w1->padded_benes_16x16_s0_w0_1.add,input,I1,1,False,padded_benes_16x16_s0_w0_1.add,1,False,,0
input:w2->padded_benes_16x16_s0_w2_3.in,input:w2->padded_benes_16x16_s0_w2_3.in,input,I2,2,False,padded_benes_16x16_s0_w2_3.in,2,False,,0
input:w3->padded_benes_16x16_s0_w2_3.add,input:w3->padded_benes_16x16_s0_w2_3.add,input,I3,3,False,padded_benes_16x16_s0_w2_3.add,3,False,,0
input:w4->padded_benes_16x16_s0_w4_5.in,input:w4->padded_benes_16x16_s0_w4_5.in,input,I4,4,False,padded_benes_16x16_s0_w4_5.in,4,False,,0
input:w5->padded_benes_16x16_s0_w4_5.add,input:w5->padded_benes_16x16_s0_w4_5.add,input,I5,5,False,padded_benes_16x16_s0_w4_5.add,5,False,,0
input:w6->padded_benes_16x16_s0_w6_7.in,input:w6->padded_benes_16x16_s0_w6_7.in,input,I6,6,False,padded_benes_16x16_s0_w6_7.in,6,False,,0
input:w7->padded_benes_16x16_s0_w6_7.add,input:w7->padded_benes_16x16_s0_w6_7.add,input,I7,7,False,padded_benes_16x16_s0_w6_7.add,7,False,,0
input:w8->padded_benes_16x16_s0_w8_9.in,input:w8->padded_benes_16x16_s0_w8_9.in,input,I8,8,False,padded_benes_16x16_s0_w8_9.in,8,False,,0
input:w9->padded_benes_16x16_s0_w8_9.add,input:w9->padded_benes_16x16_s0_w8_9.add,input,I9,9,False,padded_benes_16x16_s0_w8_9.add,9,False,,0
input:w10->padded_benes_16x16_s0_w10_11.in,input:w10->padded_benes_16x16_s0_w10_11.in,input,I10,10,True,padded_benes_16x16_s0_w10_11.in,10,False,,0
input:w11->padded_benes_16x16_s0_w10_11.add,input:w11->padded_benes_16x16_s0_w10_11.add,input,I11,11,True,padded_benes_16x16_s0_w10_11.add,11,False,,0
input:w12->padded_benes_16x16_s0_w12_13.in,input:w12->padded_benes_16x16_s0_w12_13.in,input,I12,12,True,padded_benes_16x16_s0_w12_13.in,12,False,,0
input:w13->padded_benes_16x16_s0_w12_13.add,input:w13->padded_benes_16x16_s0_w12_13.add,input,I13,13,True,padded_benes_16x16_s0_w12_13.add,13,False,,0
input:w14->padded_benes_16x16_s0_w14_15.in,input:w14->padded_benes_16x16_s0_w14_15.in,input,I14,14,True,padded_benes_16x16_s0_w14_15.in,14,False,,0
input:w15->padded_benes_16x16_s0_w14_15.add,input:w15->padded_benes_16x16_s0_w14_15.add,input,I15,15,True,padded_benes_16x16_s0_w14_15.add,15,False,,0
stage:0:w0:padded_benes_16x16_s0_w0_1.th->padded_benes_16x16_s1_w0_2.in:w0,input:w0->padded_benes_16x16_s0_w0_1.in,interstage,padded_benes_16x16_s0_w0_1.th,0,False,padded_benes_16x16_s1_w0_2.in,0,False,0,1
stage:0:w1:padded_benes_16x16_s0_w0_1.drop->padded_benes_16x16_s1_w1_3.in:w1,input:w1->padded_benes_16x16_s0_w0_1.add,interstage,padded_benes_16x16_s0_w0_1.drop,1,False,padded_benes_16x16_s1_w1_3.in,1,False,0,1
stage:0:w2:padded_benes_16x16_s0_w2_3.th->padded_benes_16x16_s1_w0_2.add:w2,input:w2->padded_benes_16x16_s0_w2_3.in,interstage,padded_benes_16x16_s0_w2_3.th,2,False,padded_benes_16x16_s1_w0_2.add,2,False,0,1
stage:0:w3:padded_benes_16x16_s0_w2_3.drop->padded_benes_16x16_s1_w1_3.add:w3,input:w3->padded_benes_16x16_s0_w2_3.add,interstage,padded_benes_16x16_s0_w2_3.drop,3,False,padded_benes_16x16_s1_w1_3.add,3,False,0,1
stage:0:w4:padded_benes_16x16_s0_w4_5.th->padded_benes_16x16_s1_w4_6.in:w4,input:w4->padded_benes_16x16_s0_w4_5.in,interstage,padded_benes_16x16_s0_w4_5.th,4,False,padded_benes_16x16_s1_w4_6.in,4,False,0,1
stage:0:w5:padded_benes_16x16_s0_w4_5.drop->padded_benes_16x16_s1_w5_7.in:w5,input:w5->padded_benes_16x16_s0_w4_5.add,interstage,padded_benes_16x16_s0_w4_5.drop,5,False,padded_benes_16x16_s1_w5_7.in,5,False,0,1
