edge_id,kind,source,target,source_blocked,target_blocked
input:w0->padded_benes_16x16_s0_w0_1.in,input,I0,padded_benes_16x16_s0_w0_1.in,False,False
input:w1->padded_benes_16x16_s0_w0_1.add,input,I1,padded_benes_16x16_s0_w0_1.add,False,False
input:w2->padded_benes_16x16_s0_w2_3.in,input,I2,padded_benes_16x16_s0_w2_3.in,False,False
input:w3->padded_benes_16x16_s0_w2_3.add,input,I3,padded_benes_16x16_s0_w2_3.add,False,False
input:w4->padded_benes_16x16_s0_w4_5.in,input,I4,padded_benes_16x16_s0_w4_5.in,False,False
input:w5->padded_benes_16x16_s0_w4_5.add,input,I5,padded_benes_16x16_s0_w4_5.add,False,False
input:w6->padded_benes_16x16_s0_w6_7.in,input,I6,padded_benes_16x16_s0_w6_7.in,False,False
input:w7->padded_benes_16x16_s0_w6_7.add,input,I7,padded_benes_16x16_s0_w6_7.add,False,False
input:w8->padded_benes_16x16_s0_w8_9.in,input,I8,padded_benes_16x16_s0_w8_9.in,False,False
input:w9->padded_benes_16x16_s0_w8_9.add,input,I9,padded_benes_16x16_s0_w8_9.add,True,False
input:w10->padded_benes_16x16_s0_w10_11.in,input,I10,padded_benes_16x16_s0_w10_11.in,True,False
input:w11->padded_benes_16x16_s0_w10_11.add,input,I11,padded_benes_16x16_s0_w10_11.add,True,False
input:w12->padded_benes_16x16_s0_w12_13.in,input,I12,padded_benes_16x16_s0_w12_13.in,True,False
input:w13->padded_benes_16x16_s0_w12_13.add,input,I13,padded_benes_16x16_s0_w12_13.add,True,False
input:w14->padded_benes_16x16_s0_w14_15.in,input,I14,padded_benes_16x16_s0_w14_15.in,True,False
input:w15->padded_benes_16x16_s0_w14_15.add,input,I15,padded_benes_16x16_s0_w14_15.add,True,False
stage:0:w0:padded_benes_16x16_s0_w0_1.th->padded_benes_16x16_s1_w0_2.in:w0,interstage,padded_benes_16x16_s0_w0_1.th,padded_benes_16x16_s1_w0_2.in,False,False
stage:0:w1:padded_benes_16x16_s0_w0_1.drop->padded_benes_16x16_s1_w1_3.in:w1,interstage,padded_benes_16x16_s0_w0_1.drop,padded_benes_16x16_s1_w1_3.in,False,False
stage:0:w2:padded_benes_16x16_s0_w2_3.th->padded_benes_16x16_s1_w0_2.add:w2,interstage,padded_benes_16x16_s0_w2_3.th,padded_benes_16x16_s1_w0_2.add,False,False
stage:0:w3:padded_benes_16x16_s0_w2_3.drop->padded_benes_16x16_s1_w1_3.add:w3,interstage,padded_benes_16x16_s0_w2_3.drop,padded_benes_16x16_s1_w1_3.add,False,False
stage:0:w4:padded_benes_16x16_s0_w4_5.th->padded_benes_16x16_s1_w4_6.in:w4,interstage,padded_benes_16x16_s0_w4_5.th,padded_benes_16x16_s1_w4_6.in,False,False
stage:0:w5:padded_benes_16x16_s0_w4_5.drop->padded_benes_16x16_s1_w5_7.in:w5,interstage,padded_benes_16x16_s0_w4_5.drop,padded_benes_16x16_s1_w5_7.in,False,False
stage:0:w6:padded_benes_16x16_s0_w6_7.th->padded_benes_16x16_s1_w4_6.add:w6,interstage,padded_benes_16x16_s0_w6_7.th,padded_benes_16x16_s1_w4_6.add,False,False
stage:0:w7:padded_benes_16x16_s0_w6_7.drop->padded_benes_16x16_s1_w5_7.add:w7,interstage,padded_benes_16x16_s0_w6_7.drop,padded_benes_16x16_s1_w5_7.add,False,False
stage:0:w8:padded_benes_16x16_s0_w8_9.th->padded_benes_16x16_s1_w8_10.in:w8,interstage,padded_benes_16x16_s0_w8_9.th,padded_benes_16x16_s1_w8_10.in,False,False
stage:0:w9:padded_benes_16x16_s0_w8_9.drop->padded_benes_16x16_s1_w9_11.in:w9,interstage,padded_benes_16x16_s0_w8_9.drop,padded_benes_16x16_s1_w9_11.in,False,False
stage:0:w10:padded_benes_16x16_s0_w10_11.th->padded_benes_16x16_s1_w8_10.add:w10,interstage,padded_benes_16x16_s0_w10_11.th,padded_benes_16x16_s1_w8_10.add,False,False
stage:0:w11:padded_benes_16x16_s0_w10_11.drop->padded_benes_16x16_s1_w9_11.add:w11,interstage,padded_benes_16x16_s0_w10_11.drop,padded_benes_16x16_s1_w9_11.add,False,False
stage:0:w12:padded_benes_16x16_s0_w12_13.th->padded_benes_16x16_s1_w12_14.in:w12,interstage,padded_benes_16x16_s0_w12_13.th,padded_benes_16x16_s1_w12_14.in,False,False
stage:0:w13:padded_benes_16x16_s0_w12_13.drop->padded_benes_16x16_s1_w13_15.in:w13,interstage,padded_benes_16x16_s0_w12_13.drop,padded_benes_16x16_s1_w13_15.in,False,False
stage:0:w14:padded_benes_16x16_s0_w14_15.th->padded_benes_16x16_s1_w12_14.add:w14,interstage,padded_benes_16x16_s0_w14_15.th,padded_benes_16x16_s1_w12_14.add,False,False
stage:0:w15:padded_benes_16x16_s0_w14_15.drop->padded_benes_16x16_s1_w13_15.add:w15,interstage,padded_benes_16x16_s0_w14_15.drop,padded_benes_16x16_s1_w13_15.add,False,False
stage:1:w0:padded_benes_16x16_s1_w0_2.th->padded_benes_16x16_s2_w0_4.in:w0,interstage,padded_benes_16x16_s1_w0_2.th,padded_benes_16x16_s2_w0_4.in,False,False
stage:1:w1:padded_benes_16x16_s1_w1_3.th->padded_benes_16x16_s2_w1_5.in:w1,interstage,padded_benes_16x16_s1_w1_3.th,padded_benes_16x16_s2_w1_5.in,False,False
stage:1:w2:padded_benes_16x16_s1_w0_2.drop->padded_benes_16x16_s2_w2_6.in:w2,interstage,padded_benes_16x16_s1_w0_2.drop,padded_benes_16x16_s2_w2_6.in,False,False
stage:1:w3:padded_benes_16x16_s1_w1_3.drop->padded_benes_16x16_s2_w3_7.in:w3,interstage,padded_benes_16x16_s1_w1_3.drop,padded_benes_16x16_s2_w3_7.in,False,False
stage:1:w4:padded_benes_16x16_s1_w4_6.th->padded_benes_16x16_s2_w0_4.add:w4,interstage,padded_benes_16x16_s1_w4_6.th,padded_benes_16x16_s2_w0_4.add,False,False
stage:1:w5:padded_benes_16x16_s1_w5_7.th->padded_benes_16x16_s2_w1_5.add:w5,interstage,padded_benes_16x16_s1_w5_7.th,padded_benes_16x16_s2_w1_5.add,False,False
