rule,edge_ids,message,x_um,y_um
perpendicular_clearance,input:w0->waksman_10x10_s0_w0_1.in;input:w1->waksman_10x10_s0_w0_1.add,perpendicular waveguides approach closer than 4.000 um without a true crossing (2.000 um),56.0,548.0
perpendicular_clearance,input:w0->waksman_10x10_s0_w0_1.in;input:w1->waksman_10x10_s0_w0_1.add,perpendicular waveguides approach closer than 4.000 um without a true crossing (2.000 um),288.0,516.0
perpendicular_clearance,input:w0->waksman_10x10_s0_w0_1.in;input:w4->waksman_10x10_s0_w4_5.in,perpendicular waveguides approach closer than 4.000 um without a true crossing (2.000 um),520.0,452.0
perpendicular_clearance,input:w0->waksman_10x10_s0_w0_1.in;input:w2->waksman_10x10_s0_w2_3.in,perpendicular waveguides approach closer than 4.000 um without a true crossing (2.000 um),1216.0,516.0
perpendicular_clearance,input:w0->waksman_10x10_s0_w0_1.in;input:w1->waksman_10x10_s0_w0_1.add,perpendicular waveguides approach closer than 4.000 um without a true crossing (2.000 um),1448.0,548.0
perpendicular_clearance,input:w1->waksman_10x10_s0_w0_1.add;input:w2->waksman_10x10_s0_w2_3.in,perpendicular waveguides approach closer than 4.000 um without a true crossing (2.000 um),288.0,508.0
perpendicular_clearance,input:w1->waksman_10x10_s0_w0_1.add;input:w8->waksman_10x10_s0_w8_9.in,perpendicular waveguides approach closer than 4.000 um without a true crossing (2.000 um),752.0,260.0
perpendicular_clearance,input:w5->waksman_10x10_s0_w4_5.add;input:w6->waksman_10x10_s0_w6_7.in,perpendicular waveguides approach closer than 4.000 um without a true crossing (2.000 um),1448.0,164.0
perpendicular_clearance,input:w6->waksman_10x10_s0_w6_7.in;input:w7->waksman_10x10_s0_w6_7.add,perpendicular waveguides approach closer than 4.000 um without a true crossing (2.000 um),56.0,164.0
perpendicular_clearance,input:w8->waksman_10x10_s0_w8_9.in;input:w9->waksman_10x10_s0_w8_9.add,perpendicular waveguides approach closer than 4.000 um without a true crossing (2.000 um),752.0,252.0
perpendicular_clearance,input:w8->waksman_10x10_s0_w8_9.in;input:w9->waksman_10x10_s0_w8_9.add,perpendicular waveguides approach closer than 4.000 um without a true crossing (2.000 um),56.0,36.0
same_net_min_spacing,input:w1->waksman_10x10_s0_w0_1.add,non-adjacent same-net segments do not exceed the required 4.000 um spacing (4.000 um; segments 7/12),55.0,542.0
same_net_min_spacing,input:w1->waksman_10x10_s0_w0_1.add,non-adjacent same-net segments do not exceed the required 4.000 um spacing (4.000 um; segments 7/13),57.0,542.0
same_net_min_spacing,input:w1->waksman_10x10_s0_w0_1.add,non-adjacent same-net segments do not exceed the required 4.000 um spacing (4.000 um; segments 8/12),45.0,542.0
same_net_min_spacing,input:w1->waksman_10x10_s0_w0_1.add,non-adjacent same-net segments do not exceed the required 4.000 um spacing (4.000 um; segments 9/12),45.0,542.0
same_net_min_spacing,input:w1->waksman_10x10_s0_w0_1.add,non-adjacent same-net segments do not exceed the required 4.000 um spacing (4.000 um; segments 71/86),1517.0,542.0
same_net_min_spacing,input:w1->waksman_10x10_s0_w0_1.add,non-adjacent same-net segments do not exceed the required 4.000 um spacing (4.000 um; segments 72/85),1512.0,542.0
same_net_min_spacing,input:w1->waksman_10x10_s0_w0_1.add,non-adjacent same-net segments do not exceed the required 4.000 um spacing (4.000 um; segments 72/86),1512.0,542.0
same_net_min_spacing,input:w1->waksman_10x10_s0_w0_1.add,non-adjacent same-net segments do not exceed the required 4.000 um spacing (4.000 um; segments 77/82),1447.0,542.0
same_net_min_spacing,input:w1->waksman_10x10_s0_w0_1.add,non-adjacent same-net segments do not exceed the required 4.000 um spacing (4.000 um; segments 77/83),1449.0,542.0
