topology,N,config,v2_status,v3_status,v2_wil_db,v3_wil_db,wil_delta_v3_minus_v2_db,v2_total_bends,v3_total_bends,v3_geometry_scope,v2_total_crossings,v3_total_crossings,v2_crossing_clearance_status,v3_acceptance_tier,v3_crossing_clearance_status,v2_same_net_min_spacing,v2_perpendicular_clearance,v3_same_net_min_spacing,v3_perpendicular_clearance,v3_failure_class,diagnosis
waksman,4,B_db_placeholder,complete,complete,2.4878511866719997,2.5858511866719995,0.09799999999999986,39,39,full,14,14,disabled (legacy tier),astar_measurement_audit,audit-only (2),0,0,0,1,,A*-B WIL cost 0.098000 dB; clearance counts are measurement-only.
waksman,4,C_db_realistic,complete,complete,1.3498360672937038,0.7200303649724418,-0.629805702321262,67,31,full,16,4,disabled (legacy tier),astar_measurement_audit,audit-only (0),32,6,5,2,,A*-C WIL gain 0.629806 dB with 36 fewer bends; clearance counts are measurement-only.
padded_benes,4,B_db_placeholder,complete,complete,2.482391003011744,2.5123910030117442,0.03000000000000025,56,56,full,14,14,disabled (legacy tier),template_hard_gate,hard-gate all-clear (0),0,0,0,0,,Template hard-gate all-clear; WIL cost 0.030000 dB under v3 internal propagation geometry.
padded_benes,4,C_db_realistic,complete,complete,1.1919644788814832,1.193164478881483,0.0011999999999998678,56,56,full,14,14,disabled (legacy tier),template_hard_gate,hard-gate all-clear (0),0,0,0,0,,Template hard-gate all-clear; WIL cost 0.001200 dB under v3 internal propagation geometry.
waksman,6,B_db_placeholder,complete,complete,4.02335726788084,4.043649304612891,0.02029203673205071,82,78,full,30,28,disabled (legacy tier),astar_measurement_audit,audit-only (2),0,1,1,2,,A*-B WIL cost 0.020292 dB; clearance counts are measurement-only.
waksman,6,C_db_realistic,complete,complete,2.2777541490310247,1.6377835545209907,-0.639970594510034,126,73,full,32,16,disabled (legacy tier),astar_measurement_audit,audit-only (1),52,9,11,4,,A*-C WIL gain 0.639971 dB with 53 fewer bends; clearance counts are measurement-only.
padded_benes,6,B_db_placeholder,complete,complete,4.396152035010801,4.438152035010802,0.0420000000000007,176,176,full,60,60,disabled (legacy tier),template_hard_gate,hard-gate all-clear (0),0,0,0,0,,Template hard-gate all-clear; WIL cost 0.042000 dB under v3 internal propagation geometry.
padded_benes,6,C_db_realistic,complete,complete,2.4864633792340336,2.4876633792340335,0.0011999999999998678,176,176,full,60,60,disabled (legacy tier),template_hard_gate,hard-gate all-clear (0),0,0,0,0,,Template hard-gate all-clear; WIL cost 0.001200 dB under v3 internal propagation geometry.
waksman,8,B_db_placeholder,complete,complete,4.927447422553782,4.906406516240353,-0.02104090631342892,137,127,full,68,56,disabled (legacy tier),astar_measurement_audit,audit-only (7),7,0,5,0,,A*-B WIL gain 0.021041 dB; clearance counts are measurement-only.
waksman,8,C_db_realistic,complete,route_failed,3.7984212059855453,,,218,189,partial_failed_route,88,64,disabled (legacy tier),astar_measurement_audit,audit-only (26),93,23,0,18,port_access_overlap_foreign,"V3-GEOMETRY REGRESSION: routable in v2 (WIL 3.798421 dB), but v3 I6->O6 is blocked on its final hop by the wider foreign I3 port-access region (port_access_overlap_foreign; frontier exhausted at 10,220 pops, not budget-limited)."
padded_benes,8,B_db_placeholder,complete,complete,4.5241520350108,4.574819091965323,0.05066705695452267,176,176,full,60,60,disabled (legacy tier),template_hard_gate,hard-gate all-clear (0),0,0,0,0,,Template hard-gate all-clear; WIL cost 0.050667 dB under v3 internal propagation geometry.
padded_benes,8,C_db_realistic,complete,complete,2.4864633792340336,2.4876633792340335,0.0011999999999998678,176,176,full,60,60,disabled (legacy tier),template_hard_gate,hard-gate all-clear (0),0,0,0,0,,Template hard-gate all-clear; WIL cost 0.001200 dB under v3 internal propagation geometry.
