rule,edge_ids,message,x_um,y_um
crossing_clearance,input:w0->waksman_8x8_s0_w0_1.in;input:w1->waksman_8x8_s0_w0_1.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=37.000,156.000,5.500,11.500 um; minimum=5.500 um)",57.0,421.5
crossing_clearance,input:w0->waksman_8x8_s0_w0_1.in;input:w1->waksman_8x8_s0_w0_1.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=100.000,93.000,11.500,5.500 um; minimum=5.500 um)",120.0,421.5
crossing_clearance,input:w0->waksman_8x8_s0_w0_1.in;input:w1->waksman_8x8_s0_w0_1.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=100.000,68.000,5.500,11.500 um; minimum=5.500 um)",729.0,421.5
crossing_clearance,input:w0->waksman_8x8_s0_w0_1.in;input:w1->waksman_8x8_s0_w0_1.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=163.000,5.000,11.500,5.500 um; minimum=5.000 um)",792.0,421.5
crossing_clearance,input:w0->waksman_8x8_s0_w0_1.in;input:w2->waksman_8x8_s0_w2_3.in,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=12.000,156.000,5.500,19.500 um; minimum=5.500 um)",225.0,389.5
crossing_clearance,input:w0->waksman_8x8_s0_w0_1.in;input:w2->waksman_8x8_s0_w2_3.in,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=100.000,68.000,5.500,19.500 um; minimum=5.500 um)",561.0,389.5
crossing_clearance,input:w0->waksman_8x8_s0_w0_1.in;input:w2->waksman_8x8_s0_w2_3.in,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=163.000,5.000,19.500,5.500 um; minimum=5.000 um)",624.0,389.5
crossing_clearance,input:w0->waksman_8x8_s0_w0_1.in;input:w4->waksman_8x8_s0_w4_5.in,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=20.000,60.000,5.500,11.500 um; minimum=5.500 um)",401.0,325.5
crossing_clearance,input:w1->waksman_8x8_s0_w0_1.add;input:w3->waksman_8x8_s0_w2_3.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=65.000,79.000,5.500,11.500 um; minimum=5.500 um)",225.0,325.5
crossing_clearance,input:w1->waksman_8x8_s0_w0_1.add;input:w3->waksman_8x8_s0_w2_3.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=89.000,236.000,5.500,11.500 um; minimum=5.500 um)",561.0,325.5
crossing_clearance,input:w1->waksman_8x8_s0_w0_1.add;input:w3->waksman_8x8_s0_w2_3.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=145.000,180.000,11.500,5.500 um; minimum=5.500 um)",617.0,325.5
crossing_clearance,input:w1->waksman_8x8_s0_w0_1.add;input:w5->waksman_8x8_s0_w4_5.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=152.000,16.000,19.500,5.500 um; minimum=5.500 um)",456.0,261.5
crossing_clearance,input:w2->waksman_8x8_s0_w2_3.in;input:w3->waksman_8x8_s0_w2_3.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=43.500,22.000,8.000,87.000 um; minimum=8.000 um)",233.0,337.0
crossing_clearance,input:w2->waksman_8x8_s0_w2_3.in;input:w3->waksman_8x8_s0_w2_3.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=139.500,22.000,8.000,48.000 um; minimum=8.000 um)",569.0,337.0
crossing_clearance,input:w2->waksman_8x8_s0_w2_3.in;input:w3->waksman_8x8_s0_w2_3.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=17.000,26.500,7.000,168.000 um; minimum=7.000 um)",624.0,320.0
crossing_clearance,input:w2->waksman_8x8_s0_w2_3.in;input:w3->waksman_8x8_s0_w2_3.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=37.000,176.000,5.500,19.500 um; minimum=5.500 um)",57.0,293.5
crossing_clearance,input:w2->waksman_8x8_s0_w2_3.in;input:w3->waksman_8x8_s0_w2_3.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=100.000,113.000,19.500,5.500 um; minimum=5.500 um)",120.0,293.5
crossing_clearance,input:w2->waksman_8x8_s0_w2_3.in;input:w3->waksman_8x8_s0_w2_3.add,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=168.000,5.000,26.500,5.500 um; minimum=5.000 um)",792.0,293.5
