topology,N,config,status,failure_class,failure_signature,n_physical,mrr,stages,mrr_waksman_theory,mrr_benes_padded,mrr_savings_pct,routed_edges,failed_edges,legacy_drc,same_net_min_spacing,perpendicular_clearance,crossing_clearance,bend_radius_legality,acceptance_tier,crossing_clearance_acceptance,manufacturability_status,total_bends,total_crossings,worst_path_crossings,worst_path_length_um,worst_il_db,method_agreement,method_gap_db,exhaustive_eval_wall_s,path_eval_wall_s,route_wall_s,witness_permutation,worst_io_pair,permutations_checked,coverage_failures,geometry_sha256,envelope_id,layout_mode,corridor_guide_mode,max_astar_pops_rung,remediation,window_expansion_tracks,astar_calls
padded_benes,4,B_db_placeholder,complete,,,4,6,3,5,6,16.666666666666668,16,0,0,0,0,0,0,template_hard_gate,hard_gate,all_clear,56,14,7,1203.0796326794896,2.5123910030117442,True,0.0,0.021122128935530782,0.003272554138675332,0.01438125898130238,0-3-1-2,1->3,24,0,85ff74a15c329e751866a9407a351a1b845299cc83f4d6ed7d917a56cdf5fc93,octave-p4-bbox28x22-dy5p5-w450-sp136-wp64-gp8-m20,template,off,30000,none,0,0
waksman,4,B_db_placeholder,complete,,,4,5,3,5,6,16.666666666666668,14,0,0,0,1,2,0,astar_measurement_audit,measurement_only,measurement_only,39,14,6,1239.8097245096174,2.5858511866719995,True,0.0,0.023952310904860497,0.002309927949681878,24.040373389143497,3-0-2-1,3->1,24,0,881b0dd8221218ca14d993ec8c73ff122499d7721c3fcef9f358fe9735b431bd,octave-p4-bbox28x22-dy5p5-w450-sp136-wp64-gp8-m20,astar,soft,30000,none,0,26
padded_benes,4,C_db_realistic,complete,,,4,6,3,5,6,16.666666666666668,16,0,0,0,0,0,0,template_hard_gate,hard_gate,all_clear,56,14,8,1034.6637061435918,1.193164478881483,True,0.0,0.016736465971916914,0.003131834091618657,0.013685464160516858,0-2-3-1,2->3,24,0,85ff74a15c329e751866a9407a351a1b845299cc83f4d6ed7d917a56cdf5fc93,octave-p4-bbox28x22-dy5p5-w450-sp136-wp64-gp8-m20,template,off,30000,none,0,0
waksman,4,C_db_realistic,complete,,,4,5,3,5,6,16.666666666666668,14,0,0,5,2,0,0,astar_measurement_audit,measurement_only,measurement_only,31,4,3,975.663706143592,0.7200303649724418,True,0.0,0.021356991957873106,0.002100826008245349,35.605280990945175,0-2-3-1,3->1,24,0,2a3a71b32cffb913b9199f297cc267c1c763a29ddadea1e279f583dcf1f318f0,octave-p4-bbox28x22-dy5p5-w450-sp136-wp64-gp8-m20,astar,soft,30000,none,0,37
padded_benes,6,B_db_placeholder,complete,,,8,20,5,11,20,45.0,48,0,0,0,0,0,0,template_hard_gate,hard_gate,all_clear,176,60,13,2127.3274122871835,4.438152035010802,True,0.0,0.04102050908841193,3.05145657598041,0.1373998369090259,1-0-3-5-4-2,3->5,720,0,c5ad40e124038391c6f1e9370af9c85b3e232445defec170e634db1b5093547a,octave-p8-bbox28x22-dy5p5-w450-sp168-wp64-gp8-m20,template,off,30000,none,0,0
waksman,6,B_db_placeholder,complete,,,6,11,5,11,20,45.0,28,0,0,1,2,2,0,astar_measurement_audit,measurement_only,measurement_only,78,28,13,1954.2256510455152,4.043649304612891,True,0.0,0.03894522786140442,3.8815179890953004,129.04761409480125,3-4-0-1-2-5,3->1,720,0,79e377bfba43bc28f9664177accb5e929414fc62649bf31800a3010173d21226,octave-p8-bbox28x22-dy5p5-w450-sp168-wp64-gp8-m20,astar,soft,30000,none,0,61
padded_benes,6,C_db_realistic,complete,,,8,20,5,11,20,45.0,48,0,0,0,0,0,0,template_hard_gate,hard_gate,all_clear,176,60,18,2017.495559215388,2.4876633792340335,True,0.0,0.03954905504360795,3.045523228822276,0.13624566490761936,4-1-3-2-5-0,4->5,720,0,c5ad40e124038391c6f1e9370af9c85b3e232445defec170e634db1b5093547a,octave-p8-bbox28x22-dy5p5-w450-sp168-wp64-gp8-m20,template,off,30000,none,0,0
waksman,6,C_db_realistic,complete,,,6,11,5,11,20,45.0,28,0,0,11,4,1,0,astar_measurement_audit,measurement_only,measurement_only,73,16,10,1697.9336143134644,1.6377835545209907,True,0.0,0.037942558992654085,3.955211394932121,219.21515135187656,0-2-5-1-3-4,0->0,720,0,6e856262b7263e7cb91c7d360ed80d6605139a08ba2759631c0dd7bce523a4a1,octave-p8-bbox28x22-dy5p5-w450-sp168-wp64-gp8-m20,astar,soft,30000,none,0,72
padded_benes,8,B_db_placeholder,complete,,,8,20,5,17,20,15.0,48,0,0,0,0,0,0,template_hard_gate,hard_gate,all_clear,176,60,13,2205.3274122871835,4.574819091965323,True,0.0,1.2526276810094714,0.08106645988300443,0.13810611190274358,0-4-6-7-1-3-2-5,3->7,40320,0,c5ad40e124038391c6f1e9370af9c85b3e232445defec170e634db1b5093547a,octave-p8-bbox28x22-dy5p5-w450-sp168-wp64-gp8-m20,template,off,30000,none,0,0
waksman,8,B_db_placeholder,complete,,,8,17,5,17,20,15.0,42,0,0,5,0,7,0,astar_measurement_audit,measurement_only,measurement_only,127,56,18,2380.7875959474386,4.906406516240353,True,0.0,1.0710123288445175,0.06593668693676591,422.1497183481697,6-4-5-3-0-1-2-7,3->3,40320,0,93624da233a9c99b6c9d6ae67f170648ea3d4c1877172bfc1e8c00e9ce9b078d,octave-p8-bbox28x22-dy5p5-w450-sp168-wp64-gp8-m20,astar,soft,30000,none,0,183
