edge_id,kind,source,target,source_blocked,target_blocked
input:w0->padded_benes_8x8_s0_w0_1.in,input,I0,padded_benes_8x8_s0_w0_1.in,False,False
input:w1->padded_benes_8x8_s0_w0_1.add,input,I1,padded_benes_8x8_s0_w0_1.add,False,False
input:w2->padded_benes_8x8_s0_w2_3.in,input,I2,padded_benes_8x8_s0_w2_3.in,False,False
input:w3->padded_benes_8x8_s0_w2_3.add,input,I3,padded_benes_8x8_s0_w2_3.add,False,False
input:w4->padded_benes_8x8_s0_w4_5.in,input,I4,padded_benes_8x8_s0_w4_5.in,False,False
input:w5->padded_benes_8x8_s0_w4_5.add,input,I5,padded_benes_8x8_s0_w4_5.add,False,False
input:w6->padded_benes_8x8_s0_w6_7.in,input,I6,padded_benes_8x8_s0_w6_7.in,False,False
input:w7->padded_benes_8x8_s0_w6_7.add,input,I7,padded_benes_8x8_s0_w6_7.add,False,False
stage:0:w0:padded_benes_8x8_s0_w0_1.th->padded_benes_8x8_s1_w0_2.in:w0,interstage,padded_benes_8x8_s0_w0_1.th,padded_benes_8x8_s1_w0_2.in,False,False
stage:0:w1:padded_benes_8x8_s0_w0_1.drop->padded_benes_8x8_s1_w1_3.in:w1,interstage,padded_benes_8x8_s0_w0_1.drop,padded_benes_8x8_s1_w1_3.in,False,False
stage:0:w2:padded_benes_8x8_s0_w2_3.th->padded_benes_8x8_s1_w0_2.add:w2,interstage,padded_benes_8x8_s0_w2_3.th,padded_benes_8x8_s1_w0_2.add,False,False
stage:0:w3:padded_benes_8x8_s0_w2_3.drop->padded_benes_8x8_s1_w1_3.add:w3,interstage,padded_benes_8x8_s0_w2_3.drop,padded_benes_8x8_s1_w1_3.add,False,False
stage:0:w4:padded_benes_8x8_s0_w4_5.th->padded_benes_8x8_s1_w4_6.in:w4,interstage,padded_benes_8x8_s0_w4_5.th,padded_benes_8x8_s1_w4_6.in,False,False
stage:0:w5:padded_benes_8x8_s0_w4_5.drop->padded_benes_8x8_s1_w5_7.in:w5,interstage,padded_benes_8x8_s0_w4_5.drop,padded_benes_8x8_s1_w5_7.in,False,False
stage:0:w6:padded_benes_8x8_s0_w6_7.th->padded_benes_8x8_s1_w4_6.add:w6,interstage,padded_benes_8x8_s0_w6_7.th,padded_benes_8x8_s1_w4_6.add,False,False
stage:0:w7:padded_benes_8x8_s0_w6_7.drop->padded_benes_8x8_s1_w5_7.add:w7,interstage,padded_benes_8x8_s0_w6_7.drop,padded_benes_8x8_s1_w5_7.add,False,False
