edge_id,kind,source,target,source_blocked,target_blocked
input:w0->waksman_6x6_s0_w0_1.in,input,I0,waksman_6x6_s0_w0_1.in,False,False
input:w1->waksman_6x6_s0_w0_1.add,input,I1,waksman_6x6_s0_w0_1.add,False,False
input:w2->waksman_6x6_s0_w2_3.in,input,I2,waksman_6x6_s0_w2_3.in,False,False
input:w3->waksman_6x6_s0_w2_3.add,input,I3,waksman_6x6_s0_w2_3.add,False,False
input:w4->waksman_6x6_s0_w4_5.in,input,I4,waksman_6x6_s0_w4_5.in,False,False
input:w5->waksman_6x6_s0_w4_5.add,input,I5,waksman_6x6_s0_w4_5.add,False,False
stage:0:w0:waksman_6x6_s0_w0_1.th->waksman_6x6_s1_w0_2.in:w0,interstage,waksman_6x6_s0_w0_1.th,waksman_6x6_s1_w0_2.in,False,False
stage:0:w1:waksman_6x6_s0_w0_1.drop->waksman_6x6_s1_w1_3.in:w1,interstage,waksman_6x6_s0_w0_1.drop,waksman_6x6_s1_w1_3.in,False,False
stage:0:w2:waksman_6x6_s0_w2_3.th->waksman_6x6_s1_w0_2.add:w2,interstage,waksman_6x6_s0_w2_3.th,waksman_6x6_s1_w0_2.add,False,False
stage:0:w3:waksman_6x6_s0_w2_3.drop->waksman_6x6_s1_w1_3.add:w3,interstage,waksman_6x6_s0_w2_3.drop,waksman_6x6_s1_w1_3.add,False,False
stage:1:w0:waksman_6x6_s1_w0_2.th->waksman_6x6_s2_w0_4.in:w0,interstage,waksman_6x6_s1_w0_2.th,waksman_6x6_s2_w0_4.in,False,False
stage:1:w1:waksman_6x6_s1_w1_3.th->waksman_6x6_s2_w1_5.in:w1,interstage,waksman_6x6_s1_w1_3.th,waksman_6x6_s2_w1_5.in,False,False
stage:0:w4:waksman_6x6_s0_w4_5.th->waksman_6x6_s2_w0_4.add:w4,interstage,waksman_6x6_s0_w4_5.th,waksman_6x6_s2_w0_4.add,False,False
stage:0:w5:waksman_6x6_s0_w4_5.drop->waksman_6x6_s2_w1_5.add:w5,interstage,waksman_6x6_s0_w4_5.drop,waksman_6x6_s2_w1_5.add,False,False
stage:2:w0:waksman_6x6_s2_w0_4.th->waksman_6x6_s3_w0_2.in:w0,interstage,waksman_6x6_s2_w0_4.th,waksman_6x6_s3_w0_2.in,False,False
stage:2:w1:waksman_6x6_s2_w1_5.th->waksman_6x6_s3_w1_3.in:w1,interstage,waksman_6x6_s2_w1_5.th,waksman_6x6_s3_w1_3.in,False,False
stage:1:w2:waksman_6x6_s1_w0_2.drop->waksman_6x6_s3_w0_2.add:w2,interstage,waksman_6x6_s1_w0_2.drop,waksman_6x6_s3_w0_2.add,False,False
stage:1:w3:waksman_6x6_s1_w1_3.drop->waksman_6x6_s3_w1_3.add:w3,interstage,waksman_6x6_s1_w1_3.drop,waksman_6x6_s3_w1_3.add,False,False
stage:3:w0:waksman_6x6_s3_w0_2.th->waksman_6x6_s4_w0_1.in:w0,interstage,waksman_6x6_s3_w0_2.th,waksman_6x6_s4_w0_1.in,False,False
stage:3:w1:waksman_6x6_s3_w1_3.th->waksman_6x6_s4_w0_1.add:w1,interstage,waksman_6x6_s3_w1_3.th,waksman_6x6_s4_w0_1.add,False,False
stage:3:w2:waksman_6x6_s3_w0_2.drop->waksman_6x6_s4_w2_3.in:w2,interstage,waksman_6x6_s3_w0_2.drop,waksman_6x6_s4_w2_3.in,False,False
stage:3:w3:waksman_6x6_s3_w1_3.drop->waksman_6x6_s4_w2_3.add:w3,interstage,waksman_6x6_s3_w1_3.drop,waksman_6x6_s4_w2_3.add,False,False
output:waksman_6x6_s4_w0_1.th->w0,output,waksman_6x6_s4_w0_1.th,O0,False,False
output:waksman_6x6_s4_w0_1.drop->w1,output,waksman_6x6_s4_w0_1.drop,O1,False,False
output:waksman_6x6_s4_w2_3.th->w2,output,waksman_6x6_s4_w2_3.th,O2,False,False
output:waksman_6x6_s4_w2_3.drop->w3,output,waksman_6x6_s4_w2_3.drop,O3,False,False
output:waksman_6x6_s2_w0_4.drop->w4,output,waksman_6x6_s2_w0_4.drop,O4,False,False
output:waksman_6x6_s2_w1_5.drop->w5,output,waksman_6x6_s2_w1_5.drop,O5,False,False
