rule,edge_ids,message,x_um,y_um
perpendicular_clearance,input:w0->waksman_8x8_s0_w0_1.in;input:w1->waksman_8x8_s0_w0_1.add,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),56.0,421.5
perpendicular_clearance,input:w0->waksman_8x8_s0_w0_1.in;input:w1->waksman_8x8_s0_w0_1.add,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),224.0,389.5
perpendicular_clearance,input:w0->waksman_8x8_s0_w0_1.in;input:w2->waksman_8x8_s0_w2_3.in,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),392.0,325.5
perpendicular_clearance,input:w1->waksman_8x8_s0_w0_1.add;input:w2->waksman_8x8_s0_w2_3.in,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),224.0,378.5
perpendicular_clearance,input:w1->waksman_8x8_s0_w0_1.add;input:w2->waksman_8x8_s0_w2_3.in,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),392.0,261.5
perpendicular_clearance,input:w2->waksman_8x8_s0_w2_3.in;input:w4->waksman_8x8_s0_w4_5.in,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),392.0,314.5
perpendicular_clearance,input:w2->waksman_8x8_s0_w2_3.in;input:w5->waksman_8x8_s0_w4_5.add,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),392.0,250.5
perpendicular_clearance,input:w2->waksman_8x8_s0_w2_3.in;input:w3->waksman_8x8_s0_w2_3.add,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),56.0,293.5
perpendicular_clearance,input:w4->waksman_8x8_s0_w4_5.in;input:w5->waksman_8x8_s0_w4_5.add,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),56.0,165.5
perpendicular_clearance,input:w4->waksman_8x8_s0_w4_5.in;input:w5->waksman_8x8_s0_w4_5.add,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),224.0,133.5
perpendicular_clearance,input:w4->waksman_8x8_s0_w4_5.in;input:w6->waksman_8x8_s0_w6_7.in,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),728.0,165.5
perpendicular_clearance,input:w5->waksman_8x8_s0_w4_5.add;input:w6->waksman_8x8_s0_w6_7.in,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),224.0,122.5
perpendicular_clearance,input:w5->waksman_8x8_s0_w4_5.add;input:w6->waksman_8x8_s0_w6_7.in,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),224.0,69.5
