record_type,topology,N,config,layout_mode,crossing_index,edge_a,edge_b,x_um,y_um,nearest_crossing_distance_um,edge_a_arm_before_um,edge_a_arm_after_um,edge_b_arm_before_um,edge_b_arm_after_um,min_arm_clearance_um,arm_violation_5um,crossing_spacing_violation_5um,any_violation_5um,arm_violation_10um,crossing_spacing_violation_10um,any_violation_10um,arm_violation_15um,crossing_spacing_violation_15um,any_violation_15um
crossing,padded_benes,3,B_db_placeholder,template,0,input:w0->padded_benes_4x4_s0_w0_1.in,input:w1->padded_benes_4x4_s0_w0_1.add,165.0,132.0,24.0,8.0,112.0,52.0,64.0,8.0,0,0,0,1,0,1,1,0,1
crossing,padded_benes,3,B_db_placeholder,template,1,input:w0->padded_benes_4x4_s0_w0_1.in,input:w1->padded_benes_4x4_s0_w0_1.add,407.0,164.0,74.0,130.0,10.0,20.0,36.0,10.0,0,0,0,0,0,0,1,0,1
crossing,padded_benes,3,B_db_placeholder,template,2,input:w0->padded_benes_4x4_s0_w0_1.in,input:w1->padded_benes_4x4_s0_w0_1.add,61.0,164.0,108.81176406988355,29.0,96.0,8.0,20.0,8.0,0,0,0,1,0,1,1,0,1
crossing,padded_benes,3,B_db_placeholder,template,3,input:w0->padded_benes_4x4_s0_w0_1.in,input:w1->padded_benes_4x4_s0_w0_1.add,333.0,164.0,40.0,56.0,84.0,8.0,20.0,8.0,0,0,0,1,0,1,1,0,1
crossing,padded_benes,3,B_db_placeholder,template,4,input:w0->padded_benes_4x4_s0_w0_1.in,input:w2->padded_benes_4x4_s0_w2_3.in,277.0,152.0,26.832815729997478,20.0,12.0,80.0,24.0,12.0,0,0,0,0,0,0,1,0,1
crossing,padded_benes,3,B_db_placeholder,template,5,input:w0->padded_benes_4x4_s0_w0_1.in,input:w2->padded_benes_4x4_s0_w2_3.in,197.0,132.0,32.0,40.0,80.0,8.0,20.0,8.0,0,0,0,1,0,1,1,0,1
crossing,padded_benes,3,B_db_placeholder,template,6,input:w1->padded_benes_4x4_s0_w0_1.add,input:w2->padded_benes_4x4_s0_w2_3.in,165.0,108.0,24.0,76.0,40.0,24.0,80.0,24.0,0,0,0,0,0,0,0,0,0
crossing,padded_benes,3,B_db_placeholder,template,7,input:w1->padded_benes_4x4_s0_w0_1.add,input:w2->padded_benes_4x4_s0_w2_3.in,301.0,140.0,26.832815729997478,16.0,80.0,12.0,104.0,12.0,0,0,0,0,0,0,1,0,1
crossing,padded_benes,3,B_db_placeholder,template,8,input:w1->padded_benes_4x4_s0_w0_1.add,input:w3->padded_benes_4x4_s0_w2_3.add,285.0,88.0,54.405882034941776,20.0,52.0,88.0,8.0,8.0,0,0,0,1,0,1,1,0,1
crossing,padded_benes,3,B_db_placeholder,template,9,input:w1->padded_benes_4x4_s0_w0_1.add,input:w3->padded_benes_4x4_s0_w2_3.add,197.0,68.0,51.22499389946279,32.0,88.0,8.0,20.0,8.0,0,0,0,1,0,1,1,0,1
