permutation,multiplicity,bfs_wil_db,opt_wil_db
"[0, 1, 2, 3, 4, 5, 6, 7]",32,4.379058059966265,4.379058059966265
"[0, 1, 2, 3, 4, 5, 7, 6]",32,4.276098966279692,4.276098966279692
"[0, 1, 2, 3, 4, 6, 5, 7]",16,4.379058059966265,4.379058059966265
"[0, 1, 2, 3, 4, 6, 7, 5]",16,4.276098966279692,4.276098966279692
"[0, 1, 2, 3, 4, 7, 5, 6]",16,4.4103910030117435,4.4103910030117435
"[0, 1, 2, 3, 4, 7, 6, 5]",16,4.4103910030117435,4.4103910030117435
"[0, 1, 2, 3, 5, 4, 6, 7]",32,4.379058059966265,4.379058059966265
"[0, 1, 2, 3, 5, 4, 7, 6]",32,4.276098966279692,4.276098966279692
"[0, 1, 2, 3, 5, 6, 4, 7]",16,4.379058059966265,4.379058059966265
"[0, 1, 2, 3, 5, 6, 7, 4]",16,4.276098966279692,4.276098966279692
"[0, 1, 2, 3, 5, 7, 4, 6]",16,4.4103910030117435,4.4103910030117435
"[0, 1, 2, 3, 5, 7, 6, 4]",16,4.4103910030117435,4.4103910030117435
"[0, 1, 2, 3, 6, 4, 5, 7]",16,4.379058059966265,4.379058059966265
"[0, 1, 2, 3, 6, 4, 7, 5]",16,4.276098966279692,4.276098966279692
"[0, 1, 2, 3, 6, 5, 4, 7]",16,4.379058059966265,4.379058059966265
"[0, 1, 2, 3, 6, 5, 7, 4]",16,4.276098966279692,4.276098966279692
"[0, 1, 2, 3, 6, 7, 4, 5]",32,4.4103910030117435,4.4103910030117435
"[0, 1, 2, 3, 6, 7, 5, 4]",32,4.4103910030117435,4.4103910030117435
"[0, 1, 2, 3, 7, 4, 5, 6]",16,4.307431909325173,4.307431909325173
"[0, 1, 2, 3, 7, 4, 6, 5]",16,4.307431909325173,4.307431909325173
"[0, 1, 2, 3, 7, 5, 4, 6]",16,4.307431909325173,4.307431909325173
"[0, 1, 2, 3, 7, 5, 6, 4]",16,4.307431909325173,4.307431909325173
"[0, 1, 2, 3, 7, 6, 4, 5]",32,4.307431909325173,4.307431909325173
"[0, 1, 2, 3, 7, 6, 5, 4]",32,4.307431909325173,4.307431909325173
"[0, 1, 2, 4, 3, 5, 6, 7]",8,4.379058059966265,4.379058059966265
"[0, 1, 2, 4, 3, 5, 7, 6]",8,4.276098966279692,4.276098966279692
"[0, 1, 2, 4, 3, 6, 5, 7]",4,4.379058059966265,4.379058059966265
"[0, 1, 2, 4, 3, 6, 7, 5]",4,4.276098966279692,4.276098966279692
"[0, 1, 2, 4, 3, 7, 5, 6]",4,4.4103910030117435,4.4103910030117435
"[0, 1, 2, 4, 3, 7, 6, 5]",4,4.4103910030117435,4.4103910030117435
"[0, 1, 2, 4, 5, 3, 6, 7]",8,4.379058059966265,4.379058059966265
"[0, 1, 2, 4, 5, 3, 7, 6]",8,4.276098966279692,4.276098966279692
"[0, 1, 2, 4, 5, 6, 3, 7]",4,4.379058059966265,4.379058059966265
"[0, 1, 2, 4, 5, 6, 7, 3]",4,4.346734937611342,4.346734937611342
"[0, 1, 2, 4, 5, 7, 3, 6]",4,4.4103910030117435,4.4103910030117435
"[0, 1, 2, 4, 5, 7, 6, 3]",4,4.4103910030117435,4.4103910030117435
"[0, 1, 2, 4, 6, 3, 5, 7]",4,4.379058059966265,4.379058059966265
"[0, 1, 2, 4, 6, 3, 7, 5]",4,4.276098966279692,4.276098966279692
"[0, 1, 2, 4, 6, 5, 3, 7]",4,4.379058059966265,4.379058059966265
"[0, 1, 2, 4, 6, 5, 7, 3]",4,4.346734937611342,4.346734937611342
"[0, 1, 2, 4, 6, 7, 3, 5]",8,4.4103910030117435,4.4103910030117435
"[0, 1, 2, 4, 6, 7, 5, 3]",8,4.4103910030117435,4.4103910030117435
"[0, 1, 2, 4, 7, 3, 5, 6]",4,4.307431909325173,4.307431909325173
