permutation,multiplicity,bfs_wil_db,opt_wil_db
"[0, 1, 2, 3, 4, 5, 6, 7]",32,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 4, 5, 7, 6]",32,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 4, 6, 5, 7]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 4, 6, 7, 5]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 4, 7, 5, 6]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 4, 7, 6, 5]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 5, 4, 6, 7]",32,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 5, 4, 7, 6]",32,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 5, 6, 4, 7]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 5, 6, 7, 4]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 5, 7, 4, 6]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 5, 7, 6, 4]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 6, 4, 5, 7]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 6, 4, 7, 5]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 6, 5, 4, 7]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 6, 5, 7, 4]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 6, 7, 4, 5]",32,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 6, 7, 5, 4]",32,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 7, 4, 5, 6]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 7, 4, 6, 5]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 7, 5, 4, 6]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 7, 5, 6, 4]",16,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 7, 6, 4, 5]",32,5.085822442776251,4.439446251690219
"[0, 1, 2, 3, 7, 6, 5, 4]",32,5.085822442776251,4.439446251690219
"[0, 1, 2, 4, 3, 5, 6, 7]",8,4.787364439063363,4.439446251690219
"[0, 1, 2, 4, 3, 5, 7, 6]",8,4.787364439063363,4.439446251690219
"[0, 1, 2, 4, 3, 6, 5, 7]",4,4.787364439063363,4.586361088252434
"[0, 1, 2, 4, 3, 6, 7, 5]",4,4.787364439063363,4.586361088252434
"[0, 1, 2, 4, 3, 7, 5, 6]",4,4.895612218671056,4.439446251690219
