permutation,num_realizations,bfs_state_id,bfs_state_bits,bfs_cross_count,bfs_wil_db,bfs_total_il_db,bfs_worst_input,bfs_worst_output,bfs_worst_path_id,opt_state_id,opt_state_bits,opt_cross_count,opt_wil_db,opt_total_il_db,opt_worst_input,opt_worst_output,opt_worst_path_id,delta_wil_db,relative_improvement_percent,num_optimal_states,num_exact_optimal_states,assignment_wil_range_db
"[0, 1, 2, 3, 4, 5, 6, 7]",32,0,00000000000000000,0,5.085822442776251,29.82918026711465,3,3,66,24641,10000010000001100,4,4.439446251690219,30.41117122376567,0,0,20,0.6463761910860315,12.709373918551261,6,6,0.6463761910860315
"[0, 1, 2, 3, 4, 5, 7, 6]",32,8,00010000000000000,1,5.085822442776251,29.974678006277408,3,3,66,24649,10010010000001100,5,4.439446251690219,30.556668962928427,0,0,20,0.6463761910860315,12.709373918551261,6,6,0.6463761910860315
"[0, 1, 2, 3, 4, 6, 5, 7]",16,65572,00100100000000001,3,5.085822442776251,30.265673484602917,3,3,66,90213,10100110000001101,7,4.439446251690219,30.847664441253933,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 4, 6, 7, 5]",16,65580,00110100000000001,4,5.085822442776251,30.41117122376567,3,3,66,90221,10110110000001101,8,4.439446251690219,30.99316218041669,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 4, 7, 5, 6]",16,136,00010001000000000,2,5.085822442776251,30.120175745440164,3,3,66,24777,10010011000001100,6,4.439446251690219,30.702166702091183,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 4, 7, 6, 5]",16,128,00000001000000000,1,5.085822442776251,29.974678006277408,3,3,66,24769,10000011000001100,5,4.439446251690219,30.556668962928427,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 5, 4, 6, 7]",32,65536,00000000000000001,1,5.085822442776251,29.974678006277408,3,3,66,90177,10000010000001101,5,4.439446251690219,30.556668962928427,0,0,20,0.6463761910860315,12.709373918551261,6,6,0.6463761910860315
"[0, 1, 2, 3, 5, 4, 7, 6]",32,65544,00010000000000001,2,5.085822442776251,30.120175745440164,3,3,66,90185,10010010000001101,6,4.439446251690219,30.70216670209118,0,0,20,0.6463761910860315,12.709373918551261,6,6,0.6463761910860315
"[0, 1, 2, 3, 5, 6, 4, 7]",16,36,00100100000000000,2,5.085822442776251,30.120175745440164,3,3,66,24677,10100110000001100,6,4.439446251690219,30.70216670209118,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 5, 6, 7, 4]",16,44,00110100000000000,3,5.085822442776251,30.265673484602917,3,3,66,24685,10110110000001100,7,4.439446251690219,30.847664441253933,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 5, 7, 4, 6]",16,65672,00010001000000001,3,5.085822442776251,30.265673484602917,3,3,66,90313,10010011000001101,7,4.439446251690219,30.847664441253933,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 5, 7, 6, 4]",16,65664,00000001000000001,2,5.085822442776251,30.120175745440164,3,3,66,90305,10000011000001101,6,4.439446251690219,30.70216670209118,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 6, 4, 5, 7]",16,65568,00000100000000001,2,5.085822442776251,30.120175745440164,3,3,66,90209,10000110000001101,6,4.439446251690219,30.70216670209118,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 6, 4, 7, 5]",16,65576,00010100000000001,3,5.085822442776251,30.265673484602917,3,3,66,90217,10010110000001101,7,4.439446251690219,30.847664441253933,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 6, 5, 4, 7]",16,32,00000100000000000,1,5.085822442776251,29.974678006277408,3,3,66,24673,10000110000001100,5,4.439446251690219,30.556668962928427,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 6, 5, 7, 4]",16,40,00010100000000000,2,5.085822442776251,30.120175745440164,3,3,66,24681,10010110000001100,6,4.439446251690219,30.70216670209118,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 6, 7, 4, 5]",32,160,00000101000000000,2,5.085822442776251,30.120175745440164,3,3,66,24801,10000111000001100,6,4.439446251690219,30.70216670209118,0,0,20,0.6463761910860315,12.709373918551261,6,6,0.6463761910860315
"[0, 1, 2, 3, 6, 7, 5, 4]",32,65696,00000101000000001,3,5.085822442776251,30.26567348460292,3,3,66,90337,10000111000001101,7,4.439446251690219,30.847664441253936,0,0,20,0.6463761910860315,12.709373918551261,6,6,0.6463761910860315
"[0, 1, 2, 3, 7, 4, 5, 6]",16,140,00110001000000000,3,5.085822442776251,30.26567348460292,3,3,66,24781,10110011000001100,7,4.439446251690219,30.847664441253936,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 7, 4, 6, 5]",16,132,00100001000000000,2,5.085822442776251,30.120175745440164,3,3,66,24773,10100011000001100,6,4.439446251690219,30.70216670209118,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 7, 5, 4, 6]",16,65676,00110001000000001,4,5.085822442776251,30.41117122376567,3,3,66,90317,10110011000001101,8,4.439446251690219,30.99316218041669,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 7, 5, 6, 4]",16,65668,00100001000000001,3,5.085822442776251,30.265673484602917,3,3,66,90309,10100011000001101,7,4.439446251690219,30.847664441253933,0,0,20,0.6463761910860315,12.709373918551261,3,3,0.6463761910860315
"[0, 1, 2, 3, 7, 6, 4, 5]",32,164,00100101000000000,3,5.085822442776251,30.26567348460292,3,3,66,24805,10100111000001100,7,4.439446251690219,30.847664441253936,0,0,20,0.6463761910860315,12.709373918551261,6,6,0.6463761910860315
"[0, 1, 2, 3, 7, 6, 5, 4]",32,65700,00100101000000001,4,5.085822442776251,30.41117122376567,3,3,66,90341,10100111000001101,8,4.439446251690219,30.99316218041669,0,0,20,0.6463761910860315,12.709373918551261,6,6,0.6463761910860315
"[0, 1, 2, 4, 3, 5, 6, 7]",8,74820,00100010001001001,5,4.787364439063363,30.556668962928427,1,1,30,61779,11001010100011110,9,4.439446251690219,31.138659919579446,0,0,20,0.3479181873731436,7.267426405523725,1,1,0.4561659669808371
"[0, 1, 2, 4, 3, 5, 7, 6]",8,74828,00110010001001001,6,4.787364439063363,30.702166702091183,1,1,30,61787,11011010100011110,10,4.439446251690219,31.284157658742203,0,0,20,0.3479181873731436,7.267426405523725,1,1,0.4561659669808371
"[0, 1, 2, 4, 3, 6, 5, 7]",4,74852,00100110001001001,6,4.787364439063363,30.70216670209118,1,1,30,91237,10100110001001101,8,4.586361088252434,30.99316218041669,4,3,103,0.2010033508109288,4.198622297705304,2,2,0.2010033508109288
"[0, 1, 2, 4, 3, 6, 7, 5]",4,74860,00110110001001001,7,4.787364439063363,30.847664441253933,1,1,30,91245,10110110001001101,9,4.586361088252434,31.138659919579446,4,3,103,0.2010033508109288,4.198622297705304,2,2,0.2010033508109288
"[0, 1, 2, 4, 3, 7, 5, 6]",4,37274,01011001100010010,7,4.895612218671056,30.847664441253936,2,2,56,61915,11011011100011110,11,4.439446251690219,31.429655397904956,0,0,20,0.4561659669808371,9.317853347148198,1,1,0.4561659669808371
"[0, 1, 2, 4, 3, 7, 6, 5]",4,37266,01001001100010010,6,4.895612218671056,30.70216670209118,2,2,56,61907,11001011100011110,10,4.439446251690219,31.2841576587422,0,0,20,0.4561659669808371,9.317853347148198,1,1,0.4561659669808371
"[0, 1, 2, 4, 5, 3, 6, 7]",8,74816,00000010001001001,4,4.787364439063363,30.41117122376567,1,1,30,61783,11101010100011110,10,4.439446251690219,31.2841576587422,0,0,20,0.3479181873731436,7.267426405523725,1,1,0.4561659669808371
"[0, 1, 2, 4, 5, 3, 7, 6]",8,74824,00010010001001001,5,4.787364439063363,30.556668962928427,1,1,30,61791,11111010100011110,11,4.439446251690219,31.429655397904952,0,0,20,0.3479181873731436,7.267426405523725,1,1,0.4561659669808371
"[0, 1, 2, 4, 5, 6, 3, 7]",4,37174,01101100100010010,7,4.895612218671056,30.847664441253933,2,2,56,61815,11101110100011110,11,4.439446251690219,31.429655397904952,0,0,20,0.4561659669808371,9.317853347148198,1,1,0.4561659669808371
"[0, 1, 2, 4, 5, 6, 7, 3]",4,37182,01111100100010010,8,4.895612218671056,30.99316218041669,2,2,56,61823,11111110100011110,12,4.46815086414724,31.57515313706771,7,3,175,0.4274613545238166,8.73151988822868,1,1,0.4274613545238166
"[0, 1, 2, 4, 5, 7, 3, 6]",4,74952,00010011001001001,6,4.787364439063363,30.70216670209118,1,1,30,91337,10010011001001101,8,4.605109957833811,30.99316218041669,6,3,152,0.18225448122955168,3.806989911660232,2,2,0.18225448122955168
"[0, 1, 2, 4, 5, 7, 6, 3]",4,74944,00000011001001001,5,4.787364439063363,30.556668962928427,1,1,30,91329,10000011001001101,7,4.708069051520382,30.847664441253933,7,3,163,0.07929538754298093,1.6563474235626585,2,2,0.07929538754298093
"[0, 1, 2, 4, 6, 3, 5, 7]",4,74848,00000110001001001,5,4.787364439063363,30.556668962928427,1,1,30,91233,10000110001001101,7,4.689320181939005,30.847664441253933,5,3,114,0.09804425712435805,2.0479798096077304,2,2,0.09804425712435805
"[0, 1, 2, 4, 6, 3, 7, 5]",4,74856,00010110001001001,6,4.787364439063363,30.70216670209118,1,1,30,91241,10010110001001101,8,4.689320181939005,30.99316218041669,5,3,114,0.09804425712435805,2.0479798096077304,2,2,0.09804425712435805
"[0, 1, 2, 4, 6, 5, 3, 7]",4,37170,01001100100010010,6,4.895612218671056,30.70216670209118,2,2,56,61811,11001110100011110,10,4.439446251690219,31.2841576587422,0,0,20,0.4561659669808371,9.317853347148198,1,1,0.4561659669808371
